Fecha,Dato
01/12/2003,100.0000
01/01/2004,107.1290
01/02/2004,108.2090
01/03/2004,109.4530
01/04/2004,106.6320
01/05/2004,105.7210
01/06/2004,109.7010
01/07/2004,114.1790
01/08/2004,115.9200
01/09/2004,116.9150
01/10/2004,119.7350
01/11/2004,122.3870
01/12/2004,125.9530
01/01/2005,127.3600
01/02/2005,127.8570
01/03/2005,130.3440
01/04/2005,129.9310
01/05/2005,142.2840
01/06/2005,162.4310
01/07/2005,168.5650
01/08/2005,159.1960
01/09/2005,154.7180
01/10/2005,156.4590
01/11/2005,158.4490
01/12/2005,157.6170
01/01/2006,158.9450
01/02/2006,162.4270
01/03/2006,163.6700
01/04/2006,159.1930
01/05/2006,152.2280
01/06/2006,153.7200
01/07/2006,153.7200
01/08/2006,152.2270
01/09/2006,153.2220
01/10/2006,154.5490
01/11/2006,161.9260
01/12/2006,158.4430
01/01/2007,162.6710
01/02/2007,158.9400
01/03/2007,159.1890
01/04/2007,160.3490
01/05/2007,167.1470
01/06/2007,167.3960
01/07/2007,168.3050
01/08/2007,169.1360
01/09/2007,169.8810
01/10/2007,171.6220
01/11/2007,173.1140
01/12/2007,173.1140
01/01/2008,169.4660
01/02/2008,153.5630
01/03/2008,153.5630
01/04/2008,170.9560
01/05/2008,163.0040
01/06/2008,159.0270
01/07/2008,167.4750
01/08/2008,158.0320
01/09/2008,154.0560
01/10/2008,146.1050
01/11/2008,154.0550
01/12/2008,161.5090
01/01/2009,162.0050
01/02/2009,147.0960
01/03/2009,155.9690
01/04/2009,155.4820
01/05/2009,150.4970
01/06/2009,142.4740
01/07/2009,140.8930
01/08/2009,143.4460
01/09/2009,162.1670
01/10/2009,167.4610
01/11/2009,162.5930
01/12/2009,171.0170
01/01/2010,161.2800
01/02/2010,174.8710
01/03/2010,175.6120
01/04/2010,173.5340
01/05/2010,171.8320
01/06/2010,170.5990
01/07/2010,178.5130
01/08/2010,175.3390
01/09/2010,170.1930
01/10/2010,174.1870
01/11/2010,181.8090
01/12/2010,186.9450
01/01/2011,192.2350
01/02/2011,191.8710
01/03/2011,191.1040
01/04/2011,190.9930
01/05/2011,191.0460
01/06/2011,192.6800
