Fecha,Dato
01/12/2003,100.0000
01/01/2004,93.6610
01/02/2004,94.6640
01/03/2004,94.0600
01/04/2004,93.2660
01/05/2004,92.9720
01/06/2004,101.1830
01/07/2004,100.6660
01/08/2004,101.7770
01/09/2004,101.8090
01/10/2004,104.1440
01/11/2004,105.2990
01/12/2004,106.1250
01/01/2005,106.5350
01/02/2005,106.3020
01/03/2005,106.4340
01/04/2005,107.6170
01/05/2005,111.9400
01/06/2005,124.1410
01/07/2005,123.4120
01/08/2005,122.3620
01/09/2005,133.3810
01/10/2005,135.8950
01/11/2005,135.0910
01/12/2005,130.2620
01/01/2006,126.6970
01/02/2006,122.7470
01/03/2006,123.1200
01/04/2006,134.5700
01/05/2006,136.1150
01/06/2006,138.8600
01/07/2006,138.7720
01/08/2006,136.0600
01/09/2006,130.1940
01/10/2006,133.8220
01/11/2006,152.3780
01/12/2006,158.6290
01/01/2007,159.5720
01/02/2007,158.7760
01/03/2007,158.0270
01/04/2007,149.1860
01/05/2007,126.0900
01/06/2007,125.3720
01/07/2007,130.6270
01/08/2007,130.6220
01/09/2007,130.6490
01/10/2007,131.6230
01/11/2007,133.3620
01/12/2007,132.4200
01/01/2008,130.0930
01/02/2008,130.9580
01/03/2008,134.8950
01/04/2008,137.1080
01/05/2008,138.1020
01/06/2008,147.7910
01/07/2008,154.1010
01/08/2008,154.5400
01/09/2008,161.6360
01/10/2008,164.5540
01/11/2008,165.6820
01/12/2008,158.1900
01/01/2009,134.6990
01/02/2009,128.0020
01/03/2009,127.5400
01/04/2009,131.3890
01/05/2009,134.6610
01/06/2009,136.4430
01/07/2009,138.7500
01/08/2009,138.3230
01/09/2009,138.9640
01/10/2009,143.3050
01/11/2009,144.2680
01/12/2009,142.6270
01/01/2010,145.0280
01/02/2010,146.4060
01/03/2010,147.6510
01/04/2010,149.6290
01/05/2010,151.5890
01/06/2010,151.9030
01/07/2010,150.9510
01/08/2010,147.7100
01/09/2010,148.2010
01/10/2010,147.7350
01/11/2010,148.6170
01/12/2010,151.3840
01/01/2011,152.5360
01/02/2011,153.6080
01/03/2011,156.3110
01/04/2011,155.7090
01/05/2011,155.9740
01/06/2011,155.6180
