Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,103.9960
01/08/2004,103.9960
01/09/2004,103.9960
01/10/2004,103.9960
01/11/2004,103.9960
01/12/2004,103.9960
01/01/2005,103.9960
01/02/2005,103.9960
01/03/2005,103.9960
01/04/2005,102.8660
01/05/2005,102.8660
01/06/2005,104.9860
01/07/2005,104.9860
01/08/2005,104.9860
01/09/2005,104.9860
01/10/2005,105.9860
01/11/2005,105.9860
01/12/2005,105.9860
01/01/2006,105.9860
01/02/2006,105.9860
01/03/2006,105.9860
01/04/2006,105.9860
01/05/2006,105.9860
01/06/2006,105.9860
01/07/2006,105.9860
01/08/2006,105.9860
01/09/2006,105.9860
01/10/2006,107.2450
01/11/2006,107.2450
01/12/2006,107.2450
01/01/2007,107.2450
01/02/2007,107.2450
01/03/2007,107.2450
01/04/2007,107.2450
01/05/2007,107.2450
01/06/2007,110.2450
01/07/2007,113.6910
01/08/2007,117.1380
01/09/2007,119.8780
01/10/2007,119.9280
01/11/2007,120.0980
01/12/2007,120.8380
01/01/2008,121.5980
01/02/2008,121.6480
01/03/2008,121.7180
01/04/2008,121.7280
01/05/2008,121.8680
01/06/2008,125.7380
01/07/2008,126.2280
01/08/2008,126.2280
01/09/2008,126.2280
01/10/2008,126.2280
01/11/2008,126.5800
01/12/2008,126.9680
01/01/2009,127.1580
01/02/2009,127.3480
01/03/2009,127.5180
01/04/2009,127.5180
01/05/2009,127.5180
01/06/2009,127.9780
01/07/2009,127.9780
01/08/2009,127.9780
01/09/2009,128.0980
01/10/2009,128.1020
01/11/2009,128.1560
01/12/2009,129.5140
01/01/2010,129.5140
01/02/2010,129.5140
01/03/2010,129.5140
01/04/2010,129.5140
01/05/2010,130.4370
01/06/2010,130.8800
01/07/2010,131.0110
01/08/2010,131.2420
01/09/2010,131.2650
01/10/2010,131.4290
01/11/2010,131.5340
01/12/2010,131.5530
01/01/2011,131.8750
01/02/2011,131.7960
01/03/2011,132.2130
01/04/2011,132.5720
01/05/2011,132.6080
01/06/2011,132.5210
