Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0060
01/08/2004,100.0060
01/09/2004,100.0060
01/10/2004,101.6540
01/11/2004,101.8000
01/12/2004,101.8000
01/01/2005,101.8000
01/02/2005,101.8000
01/03/2005,101.8000
01/04/2005,101.8000
01/05/2005,101.8000
01/06/2005,102.4480
01/07/2005,102.4480
01/08/2005,104.8290
01/09/2005,104.8290
01/10/2005,108.2480
01/11/2005,108.2480
01/12/2005,108.2480
01/01/2006,108.2480
01/02/2006,108.2480
01/03/2006,108.2480
01/04/2006,108.2480
01/05/2006,108.2480
01/06/2006,108.2480
01/07/2006,108.2480
01/08/2006,108.2480
01/09/2006,108.2480
01/10/2006,108.2480
01/11/2006,109.7960
01/12/2006,110.1050
01/01/2007,110.1050
01/02/2007,110.1050
01/03/2007,110.1050
01/04/2007,110.1050
01/05/2007,110.1050
01/06/2007,112.6450
01/07/2007,114.6580
01/08/2007,115.5020
01/09/2007,116.9580
01/10/2007,116.9580
01/11/2007,116.9580
01/12/2007,123.0510
01/01/2008,124.0770
01/02/2008,125.4100
01/03/2008,125.4100
01/04/2008,125.4100
01/05/2008,125.4100
01/06/2008,125.4270
01/07/2008,126.3200
01/08/2008,126.8460
01/09/2008,126.9680
01/10/2008,126.9680
01/11/2008,126.9680
01/12/2008,127.3860
01/01/2009,127.8020
01/02/2009,127.8020
01/03/2009,127.8020
01/04/2009,127.8020
01/05/2009,125.8780
01/06/2009,125.8780
01/07/2009,125.0900
01/08/2009,125.1680
01/09/2009,125.1680
01/10/2009,125.1680
01/11/2009,125.1680
01/12/2009,125.6350
01/01/2010,128.3710
01/02/2010,129.3520
01/03/2010,129.1150
01/04/2010,129.1150
01/05/2010,129.2340
01/06/2010,129.2340
01/07/2010,129.6990
01/08/2010,130.3960
01/09/2010,130.3960
01/10/2010,130.3960
01/11/2010,131.7320
01/12/2010,132.1150
01/01/2011,132.1150
01/02/2011,132.1150
01/03/2011,134.9910
01/04/2011,135.7170
01/05/2011,137.2500
01/06/2011,138.9760
