Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,101.0270
01/07/2004,101.2850
01/08/2004,101.2850
01/09/2004,101.5340
01/10/2004,101.9660
01/11/2004,101.9660
01/12/2004,101.9660
01/01/2005,101.9660
01/02/2005,105.0810
01/03/2005,105.0810
01/04/2005,105.0810
01/05/2005,105.0810
01/06/2005,105.0810
01/07/2005,105.0810
01/08/2005,105.0810
01/09/2005,106.3060
01/10/2005,106.3060
01/11/2005,106.3060
01/12/2005,106.3060
01/01/2006,106.3060
01/02/2006,106.3060
01/03/2006,106.3060
01/04/2006,106.3060
01/05/2006,106.3060
01/06/2006,106.3060
01/07/2006,106.3060
01/08/2006,106.3060
01/09/2006,106.3060
01/10/2006,108.1810
01/11/2006,108.8620
01/12/2006,108.8620
01/01/2007,108.8620
01/02/2007,110.8060
01/03/2007,110.8060
01/04/2007,111.3760
01/05/2007,113.6560
01/06/2007,127.9860
01/07/2007,129.6440
01/08/2007,130.8060
01/09/2007,126.1950
01/10/2007,132.0160
01/11/2007,133.2330
01/12/2007,133.2330
01/01/2008,134.6910
01/02/2008,131.2970
01/03/2008,131.2970
01/04/2008,131.2970
01/05/2008,131.2970
01/06/2008,133.4580
01/07/2008,131.6710
01/08/2008,131.6710
01/09/2008,131.6710
01/10/2008,131.7590
01/11/2008,131.7590
01/12/2008,133.5230
01/01/2009,134.3990
01/02/2009,133.0990
01/03/2009,134.0910
01/04/2009,134.0910
01/05/2009,134.2660
01/06/2009,133.4200
01/07/2009,133.3610
01/08/2009,133.1870
01/09/2009,133.1870
01/10/2009,132.9530
01/11/2009,132.8070
01/12/2009,132.3700
01/01/2010,135.4030
01/02/2010,134.6430
01/03/2010,134.6430
01/04/2010,135.6350
01/05/2010,135.8390
01/06/2010,135.8690
01/07/2010,135.8690
01/08/2010,136.2480
01/09/2010,136.3640
01/10/2010,136.3640
01/11/2010,136.4810
01/12/2010,137.0670
01/01/2011,137.4390
01/02/2011,140.1570
01/03/2011,140.7400
01/04/2011,141.1780
01/05/2011,143.5120
01/06/2011,143.8330
