Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,102.7280
01/03/2004,102.7280
01/04/2004,102.7270
01/05/2004,104.9620
01/06/2004,104.9620
01/07/2004,104.9620
01/08/2004,104.9620
01/09/2004,104.9620
01/10/2004,107.3190
01/11/2004,108.0780
01/12/2004,108.0780
01/01/2005,109.6190
01/02/2005,110.6510
01/03/2005,110.6510
01/04/2005,111.1080
01/05/2005,111.1080
01/06/2005,111.1080
01/07/2005,111.1080
01/08/2005,111.1080
01/09/2005,112.6530
01/10/2005,112.6530
01/11/2005,114.3700
01/12/2005,114.3700
01/01/2006,114.3700
01/02/2006,114.3700
01/03/2006,114.3700
01/04/2006,114.3700
01/05/2006,114.3700
01/06/2006,114.5060
01/07/2006,114.5060
01/08/2006,114.5060
01/09/2006,114.5060
01/10/2006,114.5060
01/11/2006,114.9560
01/12/2006,114.9560
01/01/2007,111.6810
01/02/2007,112.1530
01/03/2007,112.1530
01/04/2007,112.1530
01/05/2007,113.3860
01/06/2007,113.3860
01/07/2007,113.8380
01/08/2007,114.1000
01/09/2007,114.1000
01/10/2007,114.1000
01/11/2007,114.5380
01/12/2007,114.5380
01/01/2008,115.5360
01/02/2008,118.3600
01/03/2008,118.3600
01/04/2008,118.3600
01/05/2008,118.3600
01/06/2008,118.3600
01/07/2008,118.3600
01/08/2008,119.3720
01/09/2008,119.6560
01/10/2008,119.6560
01/11/2008,119.6560
01/12/2008,119.6560
01/01/2009,120.2140
01/02/2009,121.1790
01/03/2009,132.3370
01/04/2009,132.3370
01/05/2009,132.3370
01/06/2009,132.3370
01/07/2009,132.3370
01/08/2009,132.3370
01/09/2009,138.2150
01/10/2009,138.2150
01/11/2009,138.2150
01/12/2009,138.2150
01/01/2010,135.2140
01/02/2010,135.2140
01/03/2010,135.2140
01/04/2010,135.2140
01/05/2010,135.2140
01/06/2010,135.2140
01/07/2010,135.2140
01/08/2010,135.2140
01/09/2010,135.2140
01/10/2010,135.2140
01/11/2010,135.2140
01/12/2010,135.2140
01/01/2011,135.2140
01/02/2011,135.7020
01/03/2011,136.1280
01/04/2011,136.8580
01/05/2011,136.8580
01/06/2011,136.8580
