Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.1360
01/02/2004,101.7660
01/03/2004,101.7770
01/04/2004,101.7770
01/05/2004,101.7770
01/06/2004,101.7770
01/07/2004,102.8450
01/08/2004,103.2580
01/09/2004,103.6710
01/10/2004,104.5100
01/11/2004,104.9550
01/12/2004,104.9550
01/01/2005,104.9550
01/02/2005,104.9550
01/03/2005,103.7160
01/04/2005,103.7160
01/05/2005,102.4070
01/06/2005,101.9320
01/07/2005,103.6230
01/08/2005,103.8110
01/09/2005,103.8110
01/10/2005,103.8110
01/11/2005,102.2450
01/12/2005,102.2450
01/01/2006,102.2450
01/02/2006,102.2450
01/03/2006,103.8000
01/04/2006,105.3220
01/05/2006,105.3220
01/06/2006,106.8670
01/07/2006,108.6220
01/08/2006,108.6220
01/09/2006,109.2660
01/10/2006,109.2660
01/11/2006,109.2660
01/12/2006,109.2660
01/01/2007,110.5910
01/02/2007,111.5540
01/03/2007,111.5540
01/04/2007,111.5540
01/05/2007,114.4430
01/06/2007,114.4430
01/07/2007,114.4430
01/08/2007,114.4430
01/09/2007,114.9820
01/10/2007,119.5200
01/11/2007,119.5200
01/12/2007,123.1320
01/01/2008,124.3970
01/02/2008,124.3970
01/03/2008,124.8100
01/04/2008,126.1690
01/05/2008,126.1690
01/06/2008,128.7380
01/07/2008,131.0010
01/08/2008,131.9920
01/09/2008,131.9920
01/10/2008,131.9920
01/11/2008,131.9920
01/12/2008,132.3910
01/01/2009,132.7150
01/02/2009,132.9030
01/03/2009,133.5270
01/04/2009,133.7550
01/05/2009,134.4600
01/06/2009,134.4600
01/07/2009,135.2820
01/08/2009,135.2820
01/09/2009,135.4370
01/10/2009,135.4370
01/11/2009,135.4370
01/12/2009,135.4370
01/01/2010,137.0200
01/02/2010,139.0020
01/03/2010,139.0020
01/04/2010,139.0020
01/05/2010,139.0580
01/06/2010,139.0580
01/07/2010,139.4000
01/08/2010,139.4930
01/09/2010,139.1080
01/10/2010,139.1080
01/11/2010,139.7790
01/12/2010,140.7950
01/01/2011,141.0230
01/02/2011,138.4760
01/03/2011,138.5390
01/04/2011,139.8290
01/05/2011,140.7670
01/06/2011,140.7670
