Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,106.0540
01/03/2004,106.0540
01/04/2004,106.0540
01/05/2004,106.0540
01/06/2004,106.0540
01/07/2004,107.9810
01/08/2004,107.9810
01/09/2004,107.9810
01/10/2004,107.9810
01/11/2004,107.9810
01/12/2004,107.9810
01/01/2005,107.9810
01/02/2005,107.9810
01/03/2005,107.9810
01/04/2005,107.9810
01/05/2005,107.9810
01/06/2005,108.3330
01/07/2005,108.3330
01/08/2005,109.4220
01/09/2005,109.4220
01/10/2005,110.5300
01/11/2005,110.5300
01/12/2005,110.5300
01/01/2006,110.5300
01/02/2006,110.5300
01/03/2006,110.5300
01/04/2006,113.3080
01/05/2006,113.3080
01/06/2006,113.3080
01/07/2006,113.3080
01/08/2006,113.3080
01/09/2006,113.3080
01/10/2006,113.3080
01/11/2006,113.3080
01/12/2006,113.3080
01/01/2007,113.3080
01/02/2007,113.3080
01/03/2007,113.3080
01/04/2007,113.3080
01/05/2007,113.3080
01/06/2007,113.3080
01/07/2007,115.2710
01/08/2007,117.2330
01/09/2007,117.2330
01/10/2007,118.4120
01/11/2007,123.1300
01/12/2007,128.3580
01/01/2008,128.7000
01/02/2008,134.3510
01/03/2008,136.0040
01/04/2008,136.6650
01/05/2008,135.9970
01/06/2008,140.3800
01/07/2008,136.8300
01/08/2008,136.5120
01/09/2008,137.1590
01/10/2008,137.0280
01/11/2008,136.7980
01/12/2008,136.6350
01/01/2009,136.9560
01/02/2009,137.0600
01/03/2009,136.8590
01/04/2009,140.2530
01/05/2009,140.0620
01/06/2009,140.0620
01/07/2009,142.5840
01/08/2009,140.2920
01/09/2009,140.3540
01/10/2009,140.3540
01/11/2009,140.4100
01/12/2009,140.4100
01/01/2010,140.4390
01/02/2010,141.2170
01/03/2010,141.1770
01/04/2010,141.1130
01/05/2010,141.3420
01/06/2010,141.8470
01/07/2010,142.0900
01/08/2010,142.0900
01/09/2010,141.6560
01/10/2010,141.6560
01/11/2010,142.5400
01/12/2010,142.5400
01/01/2011,142.5400
01/02/2011,142.5400
01/03/2011,147.2150
01/04/2011,147.2150
01/05/2011,147.2150
01/06/2011,152.1460
