Fecha,Dato
01/12/2003,100.0000
01/01/2004,104.0760
01/02/2004,105.6110
01/03/2004,107.3520
01/04/2004,111.4230
01/05/2004,115.4150
01/06/2004,118.0270
01/07/2004,118.4740
01/08/2004,118.0750
01/09/2004,116.3210
01/10/2004,111.1870
01/11/2004,109.2660
01/12/2004,107.9980
01/01/2005,107.4880
01/02/2005,106.2050
01/03/2005,106.2290
01/04/2005,106.4560
01/05/2005,106.4900
01/06/2005,106.5970
01/07/2005,106.8830
01/08/2005,107.0940
01/09/2005,107.6010
01/10/2005,107.6010
01/11/2005,107.5910
01/12/2005,107.5080
01/01/2006,108.0390
01/02/2006,108.2040
01/03/2006,108.4050
01/04/2006,111.3530
01/05/2006,114.0070
01/06/2006,115.0340
01/07/2006,115.8530
01/08/2006,115.9760
01/09/2006,115.8460
01/10/2006,115.6270
01/11/2006,117.4320
01/12/2006,122.7060
01/01/2007,128.8800
01/02/2007,133.1510
01/03/2007,133.1510
01/04/2007,135.1000
01/05/2007,135.9350
01/06/2007,136.4650
01/07/2007,137.8680
01/08/2007,137.4000
01/09/2007,136.0970
01/10/2007,138.2560
01/11/2007,140.2890
01/12/2007,141.3250
01/01/2008,138.6140
01/02/2008,143.7610
01/03/2008,145.9330
01/04/2008,146.6200
01/05/2008,149.0060
01/06/2008,150.6450
01/07/2008,151.7780
01/08/2008,153.2020
01/09/2008,152.3430
01/10/2008,152.2910
01/11/2008,154.5440
01/12/2008,155.6200
01/01/2009,158.4810
01/02/2009,160.9250
01/03/2009,161.0450
01/04/2009,160.8310
01/05/2009,160.8150
01/06/2009,163.9530
01/07/2009,165.5240
01/08/2009,165.7120
01/09/2009,164.6220
01/10/2009,164.1550
01/11/2009,164.1550
01/12/2009,163.6300
01/01/2010,163.4700
01/02/2010,162.5580
01/03/2010,161.0260
01/04/2010,159.3370
01/05/2010,159.1100
01/06/2010,155.0250
01/07/2010,154.1730
01/08/2010,154.2780
01/09/2010,154.3230
01/10/2010,156.1750
01/11/2010,157.6060
01/12/2010,159.1230
01/01/2011,161.1250
01/02/2011,165.2490
01/03/2011,173.1980
01/04/2011,175.9170
01/05/2011,182.4860
01/06/2011,182.4860
