Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.4130
01/02/2004,99.5590
01/03/2004,99.5280
01/04/2004,99.9730
01/05/2004,112.4460
01/06/2004,112.1690
01/07/2004,112.3670
01/08/2004,112.8890
01/09/2004,113.0020
01/10/2004,118.4640
01/11/2004,118.4740
01/12/2004,118.3240
01/01/2005,118.1410
01/02/2005,118.1200
01/03/2005,118.1200
01/04/2005,118.1200
01/05/2005,118.1200
01/06/2005,114.5070
01/07/2005,114.4460
01/08/2005,114.1450
01/09/2005,111.7910
01/10/2005,111.8810
01/11/2005,116.4010
01/12/2005,119.6650
01/01/2006,119.5740
01/02/2006,119.3710
01/03/2006,119.8770
01/04/2006,120.5860
01/05/2006,122.4710
01/06/2006,123.2470
01/07/2006,122.4150
01/08/2006,122.0090
01/09/2006,122.2450
01/10/2006,122.5800
01/11/2006,122.0560
01/12/2006,121.9840
01/01/2007,122.1450
01/02/2007,122.2840
01/03/2007,122.6070
01/04/2007,122.2960
01/05/2007,126.2680
01/06/2007,126.2580
01/07/2007,126.2580
01/08/2007,126.2580
01/09/2007,126.2580
01/10/2007,126.2580
01/11/2007,131.9160
01/12/2007,131.9160
01/01/2008,131.9160
01/02/2008,131.9160
01/03/2008,131.9160
01/04/2008,131.9160
01/05/2008,130.1200
01/06/2008,130.1200
01/07/2008,130.1200
01/08/2008,130.1200
01/09/2008,131.1790
01/10/2008,131.1790
01/11/2008,131.1790
01/12/2008,131.1790
01/01/2009,131.1790
01/02/2009,132.7880
01/03/2009,133.8580
01/04/2009,133.8580
01/05/2009,132.4500
01/06/2009,133.5110
01/07/2009,133.5110
01/08/2009,133.9810
01/09/2009,133.9810
01/10/2009,133.9820
01/11/2009,133.9820
01/12/2009,133.9820
01/01/2010,133.9820
01/02/2010,133.9820
01/03/2010,133.9820
01/04/2010,133.9820
01/05/2010,133.9820
01/06/2010,132.8250
01/07/2010,132.8250
01/08/2010,132.8250
01/09/2010,132.8250
01/10/2010,132.8250
01/11/2010,132.8250
01/12/2010,133.4040
01/01/2011,133.4040
01/02/2011,132.8250
01/03/2011,133.4040
01/04/2011,133.4040
01/05/2011,133.4040
01/06/2011,134.8120
