Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,102.5210
01/03/2004,105.0420
01/04/2004,108.5710
01/05/2004,115.1260
01/06/2004,117.6470
01/07/2004,117.6470
01/08/2004,117.6470
01/09/2004,123.5290
01/10/2004,123.5290
01/11/2004,126.0620
01/12/2004,125.2980
01/01/2005,125.2980
01/02/2005,125.2980
01/03/2005,125.2980
01/04/2005,125.2980
01/05/2005,111.0320
01/06/2005,111.0320
01/07/2005,111.0320
01/08/2005,111.0320
01/09/2005,111.0320
01/10/2005,111.0320
01/11/2005,103.5390
01/12/2005,103.5390
01/01/2006,103.5390
01/02/2006,107.4870
01/03/2006,107.4870
01/04/2006,107.4870
01/05/2006,107.4870
01/06/2006,107.4870
01/07/2006,107.4870
01/08/2006,107.4870
01/09/2006,107.4870
01/10/2006,111.8240
01/11/2006,111.8240
01/12/2006,111.8240
01/01/2007,111.8240
01/02/2007,111.8240
01/03/2007,111.8240
01/04/2007,111.8240
01/05/2007,113.5670
01/06/2007,113.5670
01/07/2007,113.5670
01/08/2007,113.5670
01/09/2007,113.5670
01/10/2007,113.5670
01/11/2007,120.7920
01/12/2007,120.7920
01/01/2008,120.7920
01/02/2008,120.7920
01/03/2008,126.6480
01/04/2008,127.9710
01/05/2008,148.7900
01/06/2008,166.3770
01/07/2008,168.7420
01/08/2008,167.9860
01/09/2008,169.0260
01/10/2008,169.9200
01/11/2008,173.0200
01/12/2008,173.3830
01/01/2009,171.9860
01/02/2009,175.4010
01/03/2009,176.5930
01/04/2009,178.4020
01/05/2009,176.3220
01/06/2009,171.3200
01/07/2009,171.8550
01/08/2009,169.5510
01/09/2009,169.2440
01/10/2009,169.7430
01/11/2009,168.7770
01/12/2009,168.3250
01/01/2010,168.0050
01/02/2010,166.0090
01/03/2010,163.7800
01/04/2010,162.5760
01/05/2010,162.8200
01/06/2010,162.9230
01/07/2010,163.4410
01/08/2010,163.7580
01/09/2010,159.7720
01/10/2010,159.4570
01/11/2010,160.6500
01/12/2010,160.6900
01/01/2011,158.4430
01/02/2011,160.7910
01/03/2011,160.4840
01/04/2011,160.8530
01/05/2011,160.0700
01/06/2011,157.9830
