Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.4580
01/01/2005,100.4580
01/02/2005,100.4580
01/03/2005,100.4580
01/04/2005,100.4580
01/05/2005,100.4580
01/06/2005,100.4580
01/07/2005,100.4580
01/08/2005,100.4580
01/09/2005,100.4580
01/10/2005,100.4580
01/11/2005,100.8210
01/12/2005,104.0820
01/01/2006,104.7190
01/02/2006,104.7190
01/03/2006,105.1300
01/04/2006,105.1300
01/05/2006,105.7820
01/06/2006,105.2470
01/07/2006,105.2470
01/08/2006,105.2470
01/09/2006,105.2470
01/10/2006,105.2470
01/11/2006,105.4550
01/12/2006,106.8080
01/01/2007,106.8080
01/02/2007,106.8080
01/03/2007,106.8080
01/04/2007,106.8080
01/05/2007,106.8080
01/06/2007,106.8080
01/07/2007,106.8080
01/08/2007,106.8080
01/09/2007,106.8080
01/10/2007,106.9270
01/11/2007,111.3950
01/12/2007,111.3950
01/01/2008,111.3950
01/02/2008,111.3950
01/03/2008,113.1370
01/04/2008,113.1370
01/05/2008,113.1370
01/06/2008,113.1370
01/07/2008,113.6570
01/08/2008,113.6570
01/09/2008,113.6570
01/10/2008,113.6570
01/11/2008,114.5430
01/12/2008,116.6880
01/01/2009,122.0000
01/02/2009,123.0920
01/03/2009,123.0920
01/04/2009,123.2740
01/05/2009,123.2740
01/06/2009,123.2740
01/07/2009,123.2740
01/08/2009,123.2740
01/09/2009,123.2740
01/10/2009,123.2740
01/11/2009,123.2740
01/12/2009,123.2740
01/01/2010,123.2740
01/02/2010,123.2740
01/03/2010,123.2740
01/04/2010,123.9060
01/05/2010,124.9670
01/06/2010,124.9670
01/07/2010,127.1070
01/08/2010,126.0710
01/09/2010,126.0710
01/10/2010,126.0710
01/11/2010,128.9830
01/12/2010,128.9830
01/01/2011,128.9830
01/02/2011,128.9830
01/03/2011,128.9830
01/04/2011,131.9730
01/05/2011,135.8830
01/06/2011,139.8560
