Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,102.1050
01/03/2004,103.0610
01/04/2004,103.0610
01/05/2004,103.0610
01/06/2004,103.0610
01/07/2004,103.0610
01/08/2004,103.0610
01/09/2004,103.0610
01/10/2004,103.0610
01/11/2004,105.4880
01/12/2004,105.4880
01/01/2005,105.4880
01/02/2005,105.4880
01/03/2005,105.4880
01/04/2005,105.2230
01/05/2005,105.2230
01/06/2005,105.2230
01/07/2005,105.2230
01/08/2005,103.9040
01/09/2005,103.9040
01/10/2005,103.9040
01/11/2005,103.9040
01/12/2005,103.9040
01/01/2006,104.8520
01/02/2006,104.8520
01/03/2006,111.1990
01/04/2006,111.3220
01/05/2006,111.3220
01/06/2006,111.3220
01/07/2006,111.7140
01/08/2006,110.8670
01/09/2006,110.8670
01/10/2006,110.8670
01/11/2006,110.8670
01/12/2006,114.0110
01/01/2007,114.0110
01/02/2007,114.0110
01/03/2007,114.0110
01/04/2007,114.0110
01/05/2007,114.0110
01/06/2007,114.0110
01/07/2007,114.0110
01/08/2007,114.0110
01/09/2007,114.0110
01/10/2007,114.0110
01/11/2007,114.0110
01/12/2007,114.0110
01/01/2008,114.0110
01/02/2008,115.6810
01/03/2008,115.6810
01/04/2008,115.6810
01/05/2008,118.5710
01/06/2008,118.5710
01/07/2008,118.5710
01/08/2008,118.5710
01/09/2008,118.5710
01/10/2008,114.9220
01/11/2008,114.9220
01/12/2008,114.9220
01/01/2009,114.9220
01/02/2009,117.5730
01/03/2009,118.3950
01/04/2009,118.3950
01/05/2009,118.3950
01/06/2009,118.5240
01/07/2009,118.5330
01/08/2009,117.9580
01/09/2009,118.5890
01/10/2009,118.4110
01/11/2009,118.1790
01/12/2009,117.7030
01/01/2010,123.4110
01/02/2010,123.6360
01/03/2010,123.0960
01/04/2010,122.4890
01/05/2010,123.1810
01/06/2010,123.2600
01/07/2010,123.4370
01/08/2010,123.2520
01/09/2010,123.4530
01/10/2010,122.8230
01/11/2010,125.5030
01/12/2010,125.6340
01/01/2011,125.2330
01/02/2011,128.6360
01/03/2011,128.5450
01/04/2011,128.1100
01/05/2011,129.9050
01/06/2011,130.1450
