Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.6140
01/02/2004,101.2280
01/03/2004,101.3050
01/04/2004,101.3050
01/05/2004,101.3050
01/06/2004,101.3050
01/07/2004,101.3050
01/08/2004,101.3050
01/09/2004,101.3050
01/10/2004,101.3050
01/11/2004,101.3050
01/12/2004,101.3050
01/01/2005,102.6620
01/02/2005,105.6940
01/03/2005,105.6940
01/04/2005,105.6940
01/05/2005,105.6940
01/06/2005,105.6940
01/07/2005,105.6940
01/08/2005,105.6940
01/09/2005,105.6940
01/10/2005,105.6940
01/11/2005,105.6940
01/12/2005,105.6940
01/01/2006,105.6940
01/02/2006,105.6940
01/03/2006,105.6940
01/04/2006,105.6940
01/05/2006,105.6940
01/06/2006,105.6940
01/07/2006,105.6940
01/08/2006,105.7050
01/09/2006,105.7050
01/10/2006,105.7050
01/11/2006,105.7050
01/12/2006,107.3350
01/01/2007,107.3350
01/02/2007,107.3350
01/03/2007,107.3350
01/04/2007,107.3350
01/05/2007,107.3350
01/06/2007,107.7230
01/07/2007,108.2200
01/08/2007,108.2200
01/09/2007,108.2200
01/10/2007,108.2200
01/11/2007,108.2200
01/12/2007,108.2200
01/01/2008,108.2200
01/02/2008,108.2200
01/03/2008,108.2200
01/04/2008,108.2200
01/05/2008,108.2200
01/06/2008,108.2200
01/07/2008,108.2200
01/08/2008,108.2200
01/09/2008,108.2200
01/10/2008,108.2200
01/11/2008,108.2200
01/12/2008,108.2200
01/01/2009,108.2200
01/02/2009,109.7500
01/03/2009,113.2010
01/04/2009,113.2010
01/05/2009,113.2010
01/06/2009,113.2010
01/07/2009,113.2010
01/08/2009,113.2010
01/09/2009,113.2010
01/10/2009,113.2010
01/11/2009,113.2010
01/12/2009,113.2010
01/01/2010,113.6800
01/02/2010,113.6800
01/03/2010,114.5970
01/04/2010,114.5970
01/05/2010,114.5970
01/06/2010,114.5970
01/07/2010,114.5970
01/08/2010,114.5970
01/09/2010,115.2240
01/10/2010,116.4380
01/11/2010,116.9510
01/12/2010,117.7200
01/01/2011,117.7200
01/02/2011,118.0560
01/03/2011,118.6530
01/04/2011,118.6530
01/05/2011,120.1080
01/06/2011,120.1080
