Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.5790
01/03/2004,100.5790
01/04/2004,102.9790
01/05/2004,102.9790
01/06/2004,102.9790
01/07/2004,102.9790
01/08/2004,103.9020
01/09/2004,103.9010
01/10/2004,103.9010
01/11/2004,103.9010
01/12/2004,103.9010
01/01/2005,103.9010
01/02/2005,104.7860
01/03/2005,107.2810
01/04/2005,107.2810
01/05/2005,107.2810
01/06/2005,107.2810
01/07/2005,107.2810
01/08/2005,109.8980
01/09/2005,109.8980
01/10/2005,109.8980
01/11/2005,109.8980
01/12/2005,109.8980
01/01/2006,109.8980
01/02/2006,113.3470
01/03/2006,113.3470
01/04/2006,114.9680
01/05/2006,116.6100
01/06/2006,116.6100
01/07/2006,116.6100
01/08/2006,116.6100
01/09/2006,116.6100
01/10/2006,116.6100
01/11/2006,118.6770
01/12/2006,118.6770
01/01/2007,120.8140
01/02/2007,120.8140
01/03/2007,120.8140
01/04/2007,120.8140
01/05/2007,120.8140
01/06/2007,117.2290
01/07/2007,117.2290
01/08/2007,117.2290
01/09/2007,117.2290
01/10/2007,118.9250
01/11/2007,119.7250
01/12/2007,119.7250
01/01/2008,119.7250
01/02/2008,119.2560
01/03/2008,119.2560
01/04/2008,119.2560
01/05/2008,121.3540
01/06/2008,121.3540
01/07/2008,121.3540
01/08/2008,121.9580
01/09/2008,124.3170
01/10/2008,126.5340
01/11/2008,126.5340
01/12/2008,130.4890
01/01/2009,131.0970
01/02/2009,131.0970
01/03/2009,131.0970
01/04/2009,136.6120
01/05/2009,136.6120
01/06/2009,136.6120
01/07/2009,136.6120
01/08/2009,136.6120
01/09/2009,135.5180
01/10/2009,135.0490
01/11/2009,135.0490
01/12/2009,133.9570
01/01/2010,133.9570
01/02/2010,137.8560
01/03/2010,137.8560
01/04/2010,137.8560
01/05/2010,137.8560
01/06/2010,137.8560
01/07/2010,137.8560
01/08/2010,137.8560
01/09/2010,139.8200
01/10/2010,141.1290
01/11/2010,139.0220
01/12/2010,138.3840
01/01/2011,138.3840
01/02/2011,139.2580
01/03/2011,140.1310
01/04/2011,140.1310
01/05/2011,140.1310
01/06/2011,140.1310
