Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,99.7550
01/04/2004,99.7550
01/05/2004,100.0380
01/06/2004,100.0380
01/07/2004,100.1590
01/08/2004,100.1590
01/09/2004,100.5080
01/10/2004,100.5080
01/11/2004,100.5080
01/12/2004,100.5080
01/01/2005,100.5080
01/02/2005,100.5080
01/03/2005,100.5080
01/04/2005,100.5080
01/05/2005,100.5080
01/06/2005,100.5080
01/07/2005,100.5080
01/08/2005,100.5080
01/09/2005,100.5080
01/10/2005,100.5080
01/11/2005,100.5080
01/12/2005,100.5080
01/01/2006,101.6810
01/02/2006,101.6810
01/03/2006,101.6810
01/04/2006,101.6810
01/05/2006,101.6810
01/06/2006,101.6810
01/07/2006,101.6810
01/08/2006,101.6810
01/09/2006,101.6810
01/10/2006,101.6810
01/11/2006,101.6810
01/12/2006,101.6810
01/01/2007,101.6810
01/02/2007,101.6810
01/03/2007,101.6810
01/04/2007,102.6730
01/05/2007,102.6730
01/06/2007,102.6730
01/07/2007,102.6730
01/08/2007,102.6730
01/09/2007,102.6730
01/10/2007,102.1300
01/11/2007,102.1300
01/12/2007,102.1300
01/01/2008,102.1300
01/02/2008,102.1300
01/03/2008,102.1300
01/04/2008,103.6400
01/05/2008,103.6400
01/06/2008,103.6400
01/07/2008,103.6400
01/08/2008,105.2730
01/09/2008,105.2730
01/10/2008,105.2730
01/11/2008,105.2730
01/12/2008,105.2730
01/01/2009,107.1390
01/02/2009,107.1390
01/03/2009,107.1390
01/04/2009,107.1390
01/05/2009,110.0750
01/06/2009,111.2940
01/07/2009,111.2940
01/08/2009,114.3840
01/09/2009,114.2840
01/10/2009,114.2840
01/11/2009,114.2840
01/12/2009,114.2840
01/01/2010,116.1730
01/02/2010,116.2680
01/03/2010,116.2680
01/04/2010,116.6140
01/05/2010,117.1980
01/06/2010,117.1980
01/07/2010,117.1980
01/08/2010,117.1980
01/09/2010,117.1980
01/10/2010,117.1980
01/11/2010,117.1980
01/12/2010,119.3550
01/01/2011,121.5540
01/02/2011,121.5990
01/03/2011,122.8330
01/04/2011,125.1670
01/05/2011,125.1670
01/06/2011,125.1670
