Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.4200
01/02/2004,104.5020
01/03/2004,104.4090
01/04/2004,105.7700
01/05/2004,111.7680
01/06/2004,116.9410
01/07/2004,117.3430
01/08/2004,117.2430
01/09/2004,118.3200
01/10/2004,118.0100
01/11/2004,118.0310
01/12/2004,117.0380
01/01/2005,117.2820
01/02/2005,116.6870
01/03/2005,116.6570
01/04/2005,116.5650
01/05/2005,115.8750
01/06/2005,114.9880
01/07/2005,114.2360
01/08/2005,117.3430
01/09/2005,117.9650
01/10/2005,119.9980
01/11/2005,122.6100
01/12/2005,125.4790
01/01/2006,125.2600
01/02/2006,126.0820
01/03/2006,127.6740
01/04/2006,129.3830
01/05/2006,134.1730
01/06/2006,136.2430
01/07/2006,136.1090
01/08/2006,136.9430
01/09/2006,137.7420
01/10/2006,139.9050
01/11/2006,139.7150
01/12/2006,139.5530
01/01/2007,140.8070
01/02/2007,144.3060
01/03/2007,153.7850
01/04/2007,154.8270
01/05/2007,153.9170
01/06/2007,156.4220
01/07/2007,156.2140
01/08/2007,157.6200
01/09/2007,159.3500
01/10/2007,158.1420
01/11/2007,158.2320
01/12/2007,158.1980
01/01/2008,158.5620
01/02/2008,157.7190
01/03/2008,157.4410
01/04/2008,156.2130
01/05/2008,155.7720
01/06/2008,155.0020
01/07/2008,154.4770
01/08/2008,153.5360
01/09/2008,156.5310
01/10/2008,182.0070
01/11/2008,182.7810
01/12/2008,182.3740
01/01/2009,180.1110
01/02/2009,178.5790
01/03/2009,179.1220
01/04/2009,176.4250
01/05/2009,176.0560
01/06/2009,176.2190
01/07/2009,176.2300
01/08/2009,180.0400
01/09/2009,180.8340
01/10/2009,180.6090
01/11/2009,180.3180
01/12/2009,179.7190
01/01/2010,183.7800
01/02/2010,184.0630
01/03/2010,183.3840
01/04/2010,182.6200
01/05/2010,185.0870
01/06/2010,185.1860
01/07/2010,185.4090
01/08/2010,185.1760
01/09/2010,185.4290
01/10/2010,184.6370
01/11/2010,186.4450
01/12/2010,186.6130
01/01/2011,186.1010
01/02/2011,185.9400
01/03/2011,185.8250
01/04/2011,185.2710
01/05/2011,185.0590
01/06/2011,191.3720
