Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0540
01/02/2004,100.1070
01/03/2004,101.1400
01/04/2004,101.1690
01/05/2004,101.2050
01/06/2004,101.2450
01/07/2004,101.2870
01/08/2004,101.3100
01/09/2004,101.3250
01/10/2004,101.3400
01/11/2004,101.3640
01/12/2004,101.3980
01/01/2005,101.4690
01/02/2005,101.5570
01/03/2005,101.6080
01/04/2005,101.6490
01/05/2005,101.6730
01/06/2005,101.6870
01/07/2005,101.7310
01/08/2005,103.4150
01/09/2005,103.4110
01/10/2005,103.4360
01/11/2005,109.3920
01/12/2005,109.3750
01/01/2006,109.4290
01/02/2006,109.5470
01/03/2006,109.5790
01/04/2006,109.5900
01/05/2006,109.6100
01/06/2006,109.6530
01/07/2006,109.6450
01/08/2006,109.6350
01/09/2006,109.6650
01/10/2006,109.6850
01/11/2006,109.7420
01/12/2006,109.7770
01/01/2007,109.8550
01/02/2007,109.8590
01/03/2007,109.9130
01/04/2007,109.9630
01/05/2007,110.0090
01/06/2007,110.6350
01/07/2007,110.7170
01/08/2007,110.7340
01/09/2007,110.7790
01/10/2007,111.4970
01/11/2007,111.5520
01/12/2007,111.5700
01/01/2008,111.9550
01/02/2008,112.2390
01/03/2008,112.3080
01/04/2008,113.4230
01/05/2008,113.4290
01/06/2008,113.4740
01/07/2008,115.5630
01/08/2008,115.6040
01/09/2008,116.8070
01/10/2008,118.4040
01/11/2008,118.4680
01/12/2008,118.5870
01/01/2009,118.6740
01/02/2009,121.7570
01/03/2009,122.6580
01/04/2009,122.6510
01/05/2009,122.6190
01/06/2009,122.6750
01/07/2009,122.6790
01/08/2009,121.7440
01/09/2009,121.8710
01/10/2009,121.9330
01/11/2009,122.0290
01/12/2009,122.0870
01/01/2010,122.0870
01/02/2010,122.0870
01/03/2010,122.0870
01/04/2010,122.0870
01/05/2010,124.5740
01/06/2010,124.5740
01/07/2010,124.5740
01/08/2010,124.5740
01/09/2010,124.5740
01/10/2010,124.5740
01/11/2010,124.5740
01/12/2010,124.5740
01/01/2011,124.5740
01/02/2011,126.1420
01/03/2011,126.6470
01/04/2011,126.6470
01/05/2011,126.6470
01/06/2011,126.6470
