Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,116.6280
01/05/2004,116.6280
01/06/2004,116.6280
01/07/2004,116.6280
01/08/2004,116.6280
01/09/2004,116.6280
01/10/2004,116.6280
01/11/2004,116.6280
01/12/2004,116.6280
01/01/2005,116.6280
01/02/2005,116.6280
01/03/2005,116.6280
01/04/2005,116.6280
01/05/2005,114.2960
01/06/2005,114.2960
01/07/2005,110.5340
01/08/2005,107.2410
01/09/2005,107.2410
01/10/2005,107.2410
01/11/2005,116.3580
01/12/2005,116.3580
01/01/2006,116.3580
01/02/2006,116.3580
01/03/2006,116.3580
01/04/2006,116.3580
01/05/2006,116.3580
01/06/2006,116.3580
01/07/2006,116.3580
01/08/2006,116.3580
01/09/2006,116.3580
01/10/2006,116.3580
01/11/2006,116.3580
01/12/2006,116.3580
01/01/2007,122.4110
01/02/2007,122.4110
01/03/2007,122.4110
01/04/2007,122.4110
01/05/2007,122.4110
01/06/2007,122.4110
01/07/2007,122.4110
01/08/2007,122.4110
01/09/2007,122.4110
01/10/2007,122.4110
01/11/2007,131.2270
01/12/2007,131.2270
01/01/2008,131.2270
01/02/2008,131.2270
01/03/2008,139.4460
01/04/2008,139.4460
01/05/2008,139.4460
01/06/2008,139.4460
01/07/2008,139.4460
01/08/2008,139.4460
01/09/2008,139.4460
01/10/2008,155.0950
01/11/2008,155.0950
01/12/2008,155.0950
01/01/2009,155.0950
01/02/2009,199.1440
01/03/2009,222.9590
01/04/2009,207.9830
01/05/2009,205.9370
01/06/2009,206.8400
01/07/2009,206.9010
01/08/2009,201.0800
01/09/2009,196.3770
01/10/2009,186.9540
01/11/2009,185.1810
01/12/2009,183.4170
01/01/2010,183.2860
01/02/2010,184.1210
01/03/2010,182.1210
01/04/2010,179.8720
01/05/2010,181.9770
01/06/2010,177.0790
01/07/2010,177.5100
01/08/2010,173.8100
01/09/2010,172.2480
01/10/2010,167.8080
01/11/2010,165.1090
01/12/2010,165.5260
01/01/2011,164.2540
01/02/2011,164.3130
01/03/2011,161.6410
01/04/2011,161.2930
01/05/2011,160.8080
01/06/2011,162.8810
