Fecha,Dato
01/12/2003,100.0000
01/01/2004,104.5450
01/02/2004,104.5450
01/03/2004,104.5450
01/04/2004,104.5450
01/05/2004,104.5450
01/06/2004,109.0910
01/07/2004,109.0910
01/08/2004,109.0910
01/09/2004,120.7630
01/10/2004,122.3440
01/11/2004,122.7100
01/12/2004,122.6560
01/01/2005,127.4790
01/02/2005,127.7310
01/03/2005,127.6130
01/04/2005,127.0480
01/05/2005,126.5020
01/06/2005,126.2420
01/07/2005,125.4570
01/08/2005,128.8260
01/09/2005,127.0430
01/10/2005,135.0270
01/11/2005,136.8740
01/12/2005,138.2950
01/01/2006,138.3180
01/02/2006,141.5050
01/03/2006,138.6880
01/04/2006,136.6690
01/05/2006,135.1840
01/06/2006,137.4220
01/07/2006,134.2270
01/08/2006,133.8650
01/09/2006,133.5020
01/10/2006,134.1790
01/11/2006,134.2250
01/12/2006,134.8490
01/01/2007,134.2980
01/02/2007,133.8590
01/03/2007,139.3250
01/04/2007,143.5350
01/05/2007,145.3180
01/06/2007,145.9780
01/07/2007,146.3680
01/08/2007,146.7560
01/09/2007,146.2640
01/10/2007,145.9130
01/11/2007,157.4030
01/12/2007,186.1260
01/01/2008,217.0390
01/02/2008,232.6730
01/03/2008,258.8810
01/04/2008,295.0430
01/05/2008,349.9650
01/06/2008,383.9220
01/07/2008,393.8560
01/08/2008,412.8160
01/09/2008,421.5890
01/10/2008,341.7590
01/11/2008,313.9490
01/12/2008,275.7960
01/01/2009,252.0210
01/02/2009,240.7520
01/03/2009,242.0390
01/04/2009,247.2530
01/05/2009,248.7950
01/06/2009,248.5930
01/07/2009,244.2790
01/08/2009,219.5070
01/09/2009,219.1120
01/10/2009,219.2830
01/11/2009,217.5360
01/12/2009,217.4690
01/01/2010,212.2130
01/02/2010,212.9320
01/03/2010,213.2600
01/04/2010,220.5730
01/05/2010,219.4160
01/06/2010,220.0590
01/07/2010,209.4140
01/08/2010,207.3310
01/09/2010,207.9080
01/10/2010,226.6180
01/11/2010,232.0340
01/12/2010,231.6630
01/01/2011,232.9930
01/02/2011,239.0080
01/03/2011,244.6320
01/04/2011,249.8630
01/05/2011,254.5600
01/06/2011,265.2840
