Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.0430
01/02/2004,102.0660
01/03/2004,101.9590
01/04/2004,103.5230
01/05/2004,105.1600
01/06/2004,104.3370
01/07/2004,104.9270
01/08/2004,104.4540
01/09/2004,104.9950
01/10/2004,104.4050
01/11/2004,104.4300
01/12/2004,103.2860
01/01/2005,103.5700
01/02/2005,102.8860
01/03/2005,102.8510
01/04/2005,102.7460
01/05/2005,101.9540
01/06/2005,100.9360
01/07/2005,104.1480
01/08/2005,104.0120
01/09/2005,117.3290
01/10/2005,118.8960
01/11/2005,119.4020
01/12/2005,117.9540
01/01/2006,118.6810
01/02/2006,118.1300
01/03/2006,116.9230
01/04/2006,116.9040
01/05/2006,118.5030
01/06/2006,121.6670
01/07/2006,117.9850
01/08/2006,116.0830
01/09/2006,117.9340
01/10/2006,116.4690
01/11/2006,120.9140
01/12/2006,121.0040
01/01/2007,121.6970
01/02/2007,123.1820
01/03/2007,124.9840
01/04/2007,125.0240
01/05/2007,123.7730
01/06/2007,123.9640
01/07/2007,124.5530
01/08/2007,126.8960
01/09/2007,126.7240
01/10/2007,125.1730
01/11/2007,124.5210
01/12/2007,125.5000
01/01/2008,132.1560
01/02/2008,147.3530
01/03/2008,156.4530
01/04/2008,152.1380
01/05/2008,152.4580
01/06/2008,163.4110
01/07/2008,165.6140
01/08/2008,171.1860
01/09/2008,179.6420
01/10/2008,217.0120
01/11/2008,224.3840
01/12/2008,224.6540
01/01/2009,162.0600
01/02/2009,164.0260
01/03/2009,166.8670
01/04/2009,155.0810
01/05/2009,184.3790
01/06/2009,182.7110
01/07/2009,175.7490
01/08/2009,172.1050
01/09/2009,177.3700
01/10/2009,176.3690
01/11/2009,187.0270
01/12/2009,185.6590
01/01/2010,184.6100
01/02/2010,186.2600
01/03/2010,191.8330
01/04/2010,194.4590
01/05/2010,195.3370
01/06/2010,192.8690
01/07/2010,190.1520
01/08/2010,186.6750
01/09/2010,191.8140
01/10/2010,191.9510
01/11/2010,196.0440
01/12/2010,198.0430
01/01/2011,195.3350
01/02/2011,196.1190
01/03/2011,195.8130
01/04/2011,197.3700
01/05/2011,199.0200
01/06/2011,202.7510
