Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,104.7930
01/03/2004,108.6280
01/04/2004,108.6280
01/05/2004,94.5840
01/06/2004,100.3360
01/07/2004,122.7040
01/08/2004,126.8580
01/09/2004,131.5250
01/10/2004,141.1730
01/11/2004,141.1730
01/12/2004,144.3690
01/01/2005,146.6050
01/02/2005,146.6050
01/03/2005,144.6880
01/04/2005,145.4550
01/05/2005,149.4370
01/06/2005,157.9170
01/07/2005,148.1390
01/08/2005,141.7480
01/09/2005,141.7480
01/10/2005,141.7480
01/11/2005,149.2260
01/12/2005,149.2260
01/01/2006,150.3760
01/02/2006,150.3760
01/03/2006,150.3760
01/04/2006,150.3760
01/05/2006,135.6440
01/06/2006,135.6440
01/07/2006,135.6440
01/08/2006,142.9630
01/09/2006,145.7390
01/10/2006,145.7390
01/11/2006,145.7390
01/12/2006,141.8270
01/01/2007,141.8270
01/02/2007,141.8270
01/03/2007,139.0340
01/04/2007,139.0340
01/05/2007,139.0340
01/06/2007,139.0340
01/07/2007,139.0340
01/08/2007,139.0340
01/09/2007,139.0340
01/10/2007,139.0340
01/11/2007,126.0230
01/12/2007,126.0230
01/01/2008,150.6830
01/02/2008,152.6580
01/03/2008,154.7020
01/04/2008,154.7020
01/05/2008,154.7020
01/06/2008,154.7020
01/07/2008,154.7020
01/08/2008,154.7020
01/09/2008,154.7020
01/10/2008,154.7020
01/11/2008,154.7020
01/12/2008,154.7020
01/01/2009,156.7450
01/02/2009,156.7450
01/03/2009,158.0850
01/04/2009,151.4160
01/05/2009,150.4960
01/06/2009,150.8960
01/07/2009,150.9260
01/08/2009,149.1370
01/09/2009,151.1060
01/10/2009,151.9750
01/11/2009,151.2540
01/12/2009,149.7710
01/01/2010,152.0380
01/02/2010,152.7400
01/03/2010,161.0440
01/04/2010,159.1530
01/05/2010,161.4910
01/06/2010,161.7360
01/07/2010,162.2890
01/08/2010,161.7110
01/09/2010,154.2170
01/10/2010,152.2560
01/11/2010,155.7700
01/12/2010,155.0450
01/01/2011,154.6730
01/02/2011,156.2560
01/03/2011,161.2410
01/04/2011,159.4850
01/05/2011,157.1030
01/06/2011,162.4930
