Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.5530
01/02/2004,103.5530
01/03/2004,103.5530
01/04/2004,103.6130
01/05/2004,106.0890
01/06/2004,108.3730
01/07/2004,112.6050
01/08/2004,112.6050
01/09/2004,113.7830
01/10/2004,112.8500
01/11/2004,122.9710
01/12/2004,122.9710
01/01/2005,133.7010
01/02/2005,133.7010
01/03/2005,133.7010
01/04/2005,135.6750
01/05/2005,135.6750
01/06/2005,135.6750
01/07/2005,142.0260
01/08/2005,142.0260
01/09/2005,142.0260
01/10/2005,149.2180
01/11/2005,154.5370
01/12/2005,154.5370
01/01/2006,150.1530
01/02/2006,150.1530
01/03/2006,150.1530
01/04/2006,142.3660
01/05/2006,141.7390
01/06/2006,141.7880
01/07/2006,142.9620
01/08/2006,142.9620
01/09/2006,144.3410
01/10/2006,146.8250
01/11/2006,146.8250
01/12/2006,146.1540
01/01/2007,142.8950
01/02/2007,142.8950
01/03/2007,141.4880
01/04/2007,143.7210
01/05/2007,143.3490
01/06/2007,144.8070
01/07/2007,146.5680
01/08/2007,146.5680
01/09/2007,146.5680
01/10/2007,146.5680
01/11/2007,144.4320
01/12/2007,144.4320
01/01/2008,144.4320
01/02/2008,144.4320
01/03/2008,143.8330
01/04/2008,148.0640
01/05/2008,143.5070
01/06/2008,143.5070
01/07/2008,143.5070
01/08/2008,143.5070
01/09/2008,143.5070
01/10/2008,143.5070
01/11/2008,143.5070
01/12/2008,143.5070
01/01/2009,143.5070
01/02/2009,143.5070
01/03/2009,143.5070
01/04/2009,143.5070
01/05/2009,141.0190
01/06/2009,141.0190
01/07/2009,141.0190
01/08/2009,141.0190
01/09/2009,141.0190
01/10/2009,144.2130
01/11/2009,144.2130
01/12/2009,144.2130
01/01/2010,144.2130
01/02/2010,148.1140
01/03/2010,148.1140
01/04/2010,148.1140
01/05/2010,148.1140
01/06/2010,148.1140
01/07/2010,145.2900
01/08/2010,146.5350
01/09/2010,146.5350
01/10/2010,159.6990
01/11/2010,159.6990
01/12/2010,172.1440
01/01/2011,168.3750
01/02/2011,177.7640
01/03/2011,177.7640
01/04/2011,177.7640
01/05/2011,177.7640
01/06/2011,177.7640
