Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.2800
01/02/2004,104.1400
01/03/2004,104.1400
01/04/2004,104.1400
01/05/2004,104.3600
01/06/2004,104.3600
01/07/2004,104.5200
01/08/2004,104.5200
01/09/2004,104.5720
01/10/2004,110.2360
01/11/2004,105.5760
01/12/2004,107.1620
01/01/2005,106.4350
01/02/2005,109.2830
01/03/2005,110.2010
01/04/2005,106.4550
01/05/2005,112.5090
01/06/2005,110.7580
01/07/2005,109.0530
01/08/2005,108.1640
01/09/2005,106.4170
01/10/2005,107.5960
01/11/2005,111.1750
01/12/2005,111.5120
01/01/2006,110.9540
01/02/2006,112.4420
01/03/2006,110.2890
01/04/2006,111.9040
01/05/2006,112.0920
01/06/2006,106.6690
01/07/2006,111.0900
01/08/2006,109.8000
01/09/2006,110.6960
01/10/2006,110.4390
01/11/2006,112.8190
01/12/2006,113.6790
01/01/2007,114.0340
01/02/2007,109.4910
01/03/2007,112.3440
01/04/2007,112.4800
01/05/2007,111.6540
01/06/2007,110.1310
01/07/2007,112.7560
01/08/2007,113.6450
01/09/2007,114.1920
01/10/2007,114.1870
01/11/2007,114.0320
01/12/2007,112.9720
01/01/2008,113.9520
01/02/2008,118.8630
01/03/2008,126.9600
01/04/2008,117.1170
01/05/2008,116.2580
01/06/2008,117.1250
01/07/2008,117.4530
01/08/2008,123.5430
01/09/2008,123.6070
01/10/2008,123.6070
01/11/2008,125.5120
01/12/2008,127.5690
01/01/2009,136.0230
01/02/2009,136.2370
01/03/2009,130.7870
01/04/2009,123.6380
01/05/2009,119.6630
01/06/2009,118.9560
01/07/2009,118.9560
01/08/2009,119.4430
01/09/2009,119.2740
01/10/2009,118.1800
01/11/2009,121.0430
01/12/2009,121.7090
01/01/2010,119.8260
01/02/2010,122.0450
01/03/2010,123.1380
01/04/2010,128.0540
01/05/2010,128.0540
01/06/2010,127.3670
01/07/2010,127.7300
01/08/2010,127.2540
01/09/2010,126.5710
01/10/2010,126.5710
01/11/2010,125.6380
01/12/2010,127.6010
01/01/2011,126.6360
01/02/2011,126.6580
01/03/2011,128.4910
01/04/2011,128.4910
01/05/2011,128.4910
01/06/2011,130.3900
