Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.8480
01/02/2004,100.9240
01/03/2004,100.9240
01/04/2004,101.8190
01/05/2004,102.4990
01/06/2004,103.5870
01/07/2004,104.3690
01/08/2004,104.3690
01/09/2004,104.5860
01/10/2004,105.3730
01/11/2004,105.8820
01/12/2004,106.0420
01/01/2005,107.1900
01/02/2005,109.3770
01/03/2005,110.8280
01/04/2005,110.8880
01/05/2005,110.9670
01/06/2005,111.9020
01/07/2005,113.6370
01/08/2005,115.6850
01/09/2005,115.9760
01/10/2005,115.9760
01/11/2005,116.3330
01/12/2005,116.3330
01/01/2006,116.6640
01/02/2006,117.1610
01/03/2006,118.0650
01/04/2006,118.2650
01/05/2006,118.2650
01/06/2006,118.7510
01/07/2006,119.5230
01/08/2006,121.7510
01/09/2006,121.7510
01/10/2006,122.0800
01/11/2006,123.7830
01/12/2006,124.6630
01/01/2007,125.8650
01/02/2007,125.8650
01/03/2007,126.4450
01/04/2007,127.1050
01/05/2007,127.2230
01/06/2007,127.3570
01/07/2007,130.1060
01/08/2007,130.9550
01/09/2007,131.6070
01/10/2007,131.6070
01/11/2007,132.3250
01/12/2007,133.1680
01/01/2008,133.1680
01/02/2008,133.1680
01/03/2008,133.1680
01/04/2008,134.3350
01/05/2008,134.7990
01/06/2008,136.1630
01/07/2008,136.1630
01/08/2008,136.1630
01/09/2008,136.1630
01/10/2008,136.1630
01/11/2008,136.1630
01/12/2008,136.1630
01/01/2009,137.1390
01/02/2009,139.2840
01/03/2009,140.1590
01/04/2009,140.8830
01/05/2009,141.5160
01/06/2009,141.5160
01/07/2009,141.5160
01/08/2009,141.5160
01/09/2009,141.5160
01/10/2009,141.5160
01/11/2009,141.5160
01/12/2009,141.5160
01/01/2010,144.0120
01/02/2010,144.6450
01/03/2010,144.6450
01/04/2010,144.7830
01/05/2010,144.7830
01/06/2010,145.3000
01/07/2010,145.7760
01/08/2010,145.9910
01/09/2010,146.2650
01/10/2010,146.2650
01/11/2010,146.2650
01/12/2010,146.2650
01/01/2011,147.3460
01/02/2011,147.3460
01/03/2011,147.3460
01/04/2011,147.8200
01/05/2011,149.6640
01/06/2011,149.9640
