Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.3010
01/02/2004,100.7890
01/03/2004,100.7890
01/04/2004,100.8900
01/05/2004,103.1980
01/06/2004,103.7600
01/07/2004,103.9360
01/08/2004,104.0450
01/09/2004,104.2870
01/10/2004,104.2870
01/11/2004,104.2870
01/12/2004,104.3470
01/01/2005,104.3560
01/02/2005,105.8750
01/03/2005,107.9870
01/04/2005,108.2410
01/05/2005,108.9870
01/06/2005,109.3600
01/07/2005,109.3600
01/08/2005,109.5260
01/09/2005,110.3010
01/10/2005,110.3010
01/11/2005,110.3010
01/12/2005,110.3010
01/01/2006,110.4920
01/02/2006,111.1510
01/03/2006,111.4590
01/04/2006,111.4590
01/05/2006,111.4590
01/06/2006,112.9000
01/07/2006,113.2570
01/08/2006,113.2570
01/09/2006,113.2570
01/10/2006,114.0280
01/11/2006,115.8310
01/12/2006,116.0760
01/01/2007,116.0760
01/02/2007,116.0760
01/03/2007,117.4730
01/04/2007,117.4220
01/05/2007,117.9370
01/06/2007,118.3040
01/07/2007,118.3640
01/08/2007,118.5300
01/09/2007,121.6370
01/10/2007,122.1610
01/11/2007,122.4000
01/12/2007,122.5370
01/01/2008,122.5370
01/02/2008,122.5370
01/03/2008,122.5370
01/04/2008,122.9810
01/05/2008,123.2040
01/06/2008,125.3420
01/07/2008,125.7260
01/08/2008,126.2210
01/09/2008,126.2210
01/10/2008,126.2210
01/11/2008,127.7910
01/12/2008,127.7910
01/01/2009,128.0170
01/02/2009,128.3250
01/03/2009,128.7190
01/04/2009,129.2900
01/05/2009,129.2900
01/06/2009,129.9980
01/07/2009,131.2940
01/08/2009,131.8990
01/09/2009,131.8990
01/10/2009,131.8990
01/11/2009,131.8990
01/12/2009,131.8990
01/01/2010,132.7000
01/02/2010,132.7000
01/03/2010,134.6190
01/04/2010,134.6190
01/05/2010,134.6190
01/06/2010,134.8010
01/07/2010,135.1460
01/08/2010,135.1460
01/09/2010,135.1460
01/10/2010,135.1460
01/11/2010,135.1460
01/12/2010,135.1460
01/01/2011,135.1460
01/02/2011,135.1460
01/03/2011,135.1460
01/04/2011,135.1460
01/05/2011,135.3450
01/06/2011,135.9130
