Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.3640
01/02/2004,100.7730
01/03/2004,100.7730
01/04/2004,101.2680
01/05/2004,102.7380
01/06/2004,104.2190
01/07/2004,104.2610
01/08/2004,104.2610
01/09/2004,104.5100
01/10/2004,104.6000
01/11/2004,105.3360
01/12/2004,105.3360
01/01/2005,105.8660
01/02/2005,108.7840
01/03/2005,110.4760
01/04/2005,111.3470
01/05/2005,112.0020
01/06/2005,112.7310
01/07/2005,113.2480
01/08/2005,114.1310
01/09/2005,114.9810
01/10/2005,114.9810
01/11/2005,115.2430
01/12/2005,115.4720
01/01/2006,116.4420
01/02/2006,118.1960
01/03/2006,118.6360
01/04/2006,118.7320
01/05/2006,118.7320
01/06/2006,119.6200
01/07/2006,119.8860
01/08/2006,120.4490
01/09/2006,120.4490
01/10/2006,121.2250
01/11/2006,125.3300
01/12/2006,125.5780
01/01/2007,126.1500
01/02/2007,126.1500
01/03/2007,127.7940
01/04/2007,127.7940
01/05/2007,128.4000
01/06/2007,128.5310
01/07/2007,128.7470
01/08/2007,129.0480
01/09/2007,130.0920
01/10/2007,130.1760
01/11/2007,130.2520
01/12/2007,131.5460
01/01/2008,131.5460
01/02/2008,131.5460
01/03/2008,131.5890
01/04/2008,132.1800
01/05/2008,132.8880
01/06/2008,134.1850
01/07/2008,134.2970
01/08/2008,134.2970
01/09/2008,134.2970
01/10/2008,134.2970
01/11/2008,134.8010
01/12/2008,135.1660
01/01/2009,135.7160
01/02/2009,138.1410
01/03/2009,139.4020
01/04/2009,139.4320
01/05/2009,139.7970
01/06/2009,139.9280
01/07/2009,139.9990
01/08/2009,140.3590
01/09/2009,140.1190
01/10/2009,140.1670
01/11/2009,140.1670
01/12/2009,140.1670
01/01/2010,141.5070
01/02/2010,141.8770
01/03/2010,142.7420
01/04/2010,142.7700
01/05/2010,143.0090
01/06/2010,144.4270
01/07/2010,144.9550
01/08/2010,145.0440
01/09/2010,145.2020
01/10/2010,145.2760
01/11/2010,145.2940
01/12/2010,145.2940
01/01/2011,145.8720
01/02/2011,146.1790
01/03/2011,146.1790
01/04/2011,146.7010
01/05/2011,147.1160
01/06/2011,147.6670
