Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,111.0580
01/07/2004,111.0580
01/08/2004,112.2900
01/09/2004,115.7220
01/10/2004,115.7220
01/11/2004,115.7220
01/12/2004,121.1220
01/01/2005,121.1220
01/02/2005,121.1220
01/03/2005,121.1220
01/04/2005,121.1220
01/05/2005,121.1220
01/06/2005,121.1220
01/07/2005,121.1220
01/08/2005,121.1220
01/09/2005,127.5600
01/10/2005,127.5600
01/11/2005,127.5600
01/12/2005,127.5600
01/01/2006,127.5600
01/02/2006,127.5600
01/03/2006,128.0770
01/04/2006,131.6830
01/05/2006,131.9400
01/06/2006,131.9400
01/07/2006,131.9400
01/08/2006,131.9400
01/09/2006,131.9400
01/10/2006,131.9400
01/11/2006,137.1490
01/12/2006,137.1490
01/01/2007,141.0260
01/02/2007,141.0260
01/03/2007,141.0260
01/04/2007,141.0260
01/05/2007,141.0260
01/06/2007,141.0260
01/07/2007,141.0260
01/08/2007,141.0260
01/09/2007,141.0260
01/10/2007,141.0260
01/11/2007,141.0260
01/12/2007,141.0260
01/01/2008,141.0260
01/02/2008,147.9150
01/03/2008,147.9150
01/04/2008,147.9150
01/05/2008,147.9150
01/06/2008,147.9150
01/07/2008,170.4370
01/08/2008,170.4370
01/09/2008,170.4370
01/10/2008,170.4370
01/11/2008,170.4370
01/12/2008,170.4370
01/01/2009,170.4370
01/02/2009,171.6210
01/03/2009,171.6210
01/04/2009,180.5580
01/05/2009,180.5580
01/06/2009,180.5580
01/07/2009,180.5580
01/08/2009,180.5580
01/09/2009,180.5580
01/10/2009,180.5580
01/11/2009,180.5580
01/12/2009,180.5580
01/01/2010,181.1620
01/02/2010,181.1620
01/03/2010,181.1620
01/04/2010,181.1620
01/05/2010,181.1620
01/06/2010,181.1620
01/07/2010,181.1620
01/08/2010,181.1620
01/09/2010,181.1620
01/10/2010,182.0740
01/11/2010,182.0740
01/12/2010,182.0740
01/01/2011,182.0740
01/02/2011,182.0740
01/03/2011,182.0740
01/04/2011,182.0740
01/05/2011,182.0740
01/06/2011,185.7210
