Fecha,Dato
01/12/2003,100.0000
01/01/2004,134.5450
01/02/2004,117.4550
01/03/2004,116.5450
01/04/2004,121.4540
01/05/2004,115.4540
01/06/2004,115.4540
01/07/2004,115.4540
01/08/2004,113.6360
01/09/2004,113.6360
01/10/2004,113.6360
01/11/2004,111.8180
01/12/2004,111.8180
01/01/2005,111.8180
01/02/2005,111.8180
01/03/2005,113.8180
01/04/2005,113.6360
01/05/2005,115.4540
01/06/2005,114.5450
01/07/2005,111.8180
01/08/2005,111.8180
01/09/2005,111.8180
01/10/2005,111.8180
01/11/2005,111.8180
01/12/2005,111.8180
01/01/2006,111.8180
01/02/2006,109.8180
01/03/2006,109.8180
01/04/2006,100.0000
01/05/2006,96.0000
01/06/2006,96.0000
01/07/2006,96.9090
01/08/2006,97.8180
01/09/2006,99.6360
01/10/2006,99.6360
01/11/2006,115.4540
01/12/2006,115.4540
01/01/2007,117.2720
01/02/2007,117.2720
01/03/2007,117.2720
01/04/2007,121.0900
01/05/2007,126.7260
01/06/2007,126.3630
01/07/2007,146.3620
01/08/2007,166.9080
01/09/2007,155.0890
01/10/2007,155.0890
01/11/2007,155.0890
01/12/2007,155.0890
01/01/2008,164.1800
01/02/2008,166.9070
01/03/2008,182.7250
01/04/2008,184.5430
01/05/2008,209.0880
01/06/2008,221.8150
01/07/2008,230.9060
01/08/2008,221.8150
01/09/2008,211.8150
01/10/2008,181.8150
01/11/2008,125.4530
01/12/2008,86.3620
01/01/2009,124.5430
01/02/2009,134.5430
01/03/2009,123.6790
01/04/2009,145.3150
01/05/2009,162.9060
01/06/2009,192.7230
01/07/2009,172.7240
01/08/2009,200.9050
01/09/2009,219.9950
01/10/2009,202.7230
01/11/2009,202.7230
01/12/2009,202.7230
01/01/2010,198.1780
01/02/2010,178.1780
01/03/2010,178.1780
01/04/2010,192.7230
01/05/2010,201.8140
01/06/2010,187.2690
01/07/2010,187.2690
01/08/2010,195.4500
01/09/2010,214.5410
01/10/2010,214.5410
01/11/2010,218.1770
01/12/2010,233.6320
01/01/2011,259.0850
01/02/2011,271.8130
01/03/2011,271.8130
01/04/2011,271.8130
01/05/2011,271.8130
01/06/2011,271.8130
