Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.0650
01/02/2004,97.7950
01/03/2004,97.6420
01/04/2004,99.8670
01/05/2004,102.1970
01/06/2004,101.0260
01/07/2004,107.9730
01/08/2004,107.2610
01/09/2004,108.0760
01/10/2004,107.1870
01/11/2004,107.2240
01/12/2004,105.4990
01/01/2005,105.9270
01/02/2005,106.8810
01/03/2005,106.8280
01/04/2005,106.6650
01/05/2005,111.9990
01/06/2005,110.3380
01/07/2005,108.9290
01/08/2005,108.6420
01/09/2005,109.8070
01/10/2005,110.2860
01/11/2005,108.8750
01/12/2005,108.3100
01/01/2006,107.7690
01/02/2006,106.9330
01/03/2006,115.4830
01/04/2006,152.8240
01/05/2006,153.3840
01/06/2006,157.9670
01/07/2006,156.3890
01/08/2006,153.8720
01/09/2006,155.1870
01/10/2006,154.4350
01/11/2006,163.1320
01/12/2006,162.6630
01/01/2007,163.5130
01/02/2007,164.2810
01/03/2007,166.3600
01/04/2007,164.3360
01/05/2007,162.2170
01/06/2007,161.8670
01/07/2007,161.5670
01/08/2007,164.8660
01/09/2007,165.0730
01/10/2007,163.6950
01/11/2007,164.4810
01/12/2007,164.4190
01/01/2008,165.3090
01/02/2008,165.2400
01/03/2008,165.0760
01/04/2008,163.4980
01/05/2008,184.6250
01/06/2008,183.6390
01/07/2008,183.7700
01/08/2008,182.6190
01/09/2008,187.5280
01/10/2008,211.6770
01/11/2008,218.6580
01/12/2008,222.0250
01/01/2009,227.0310
01/02/2009,255.0710
01/03/2009,258.6900
01/04/2009,250.3640
01/05/2009,248.2030
01/06/2009,249.1580
01/07/2009,249.2220
01/08/2009,245.3310
01/09/2009,249.9880
01/10/2009,257.2580
01/11/2009,255.4570
01/12/2009,251.7530
01/01/2010,251.4780
01/02/2010,253.2310
01/03/2010,249.0320
01/04/2010,244.3080
01/05/2010,249.6910
01/06/2010,250.3030
01/07/2010,251.6840
01/08/2010,250.2410
01/09/2010,251.8040
01/10/2010,246.9060
01/11/2010,245.5990
01/12/2010,246.6240
01/01/2011,243.4940
01/02/2011,242.5130
01/03/2011,248.2070
01/04/2011,244.8180
01/05/2011,243.5240
01/06/2011,245.3880
