Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,103.5010
01/04/2004,107.7540
01/05/2004,107.7540
01/06/2004,96.3420
01/07/2004,99.0140
01/08/2004,102.4590
01/09/2004,102.4880
01/10/2004,108.8170
01/11/2004,115.0830
01/12/2004,120.5680
01/01/2005,122.9370
01/02/2005,122.9370
01/03/2005,127.4690
01/04/2005,124.9790
01/05/2005,124.7300
01/06/2005,117.7120
01/07/2005,119.0740
01/08/2005,121.8760
01/09/2005,125.3510
01/10/2005,129.2090
01/11/2005,128.5520
01/12/2005,127.8080
01/01/2006,127.8080
01/02/2006,121.6600
01/03/2006,119.4140
01/04/2006,119.0630
01/05/2006,124.1140
01/06/2006,130.0160
01/07/2006,126.3300
01/08/2006,129.6450
01/09/2006,116.1550
01/10/2006,116.1550
01/11/2006,111.9300
01/12/2006,111.9300
01/01/2007,114.2760
01/02/2007,114.2760
01/03/2007,120.0960
01/04/2007,123.1820
01/05/2007,134.4240
01/06/2007,134.4240
01/07/2007,130.9410
01/08/2007,131.6310
01/09/2007,133.8330
01/10/2007,133.8330
01/11/2007,133.8330
01/12/2007,136.6070
01/01/2008,136.6070
01/02/2008,136.6070
01/03/2008,136.6070
01/04/2008,136.6070
01/05/2008,141.5080
01/06/2008,141.5080
01/07/2008,139.2100
01/08/2008,139.2100
01/09/2008,144.1130
01/10/2008,150.8950
01/11/2008,150.1860
01/12/2008,150.1860
01/01/2009,150.1860
01/02/2009,150.1860
01/03/2009,153.9240
01/04/2009,153.9240
01/05/2009,152.2840
01/06/2009,155.4440
01/07/2009,157.4780
01/08/2009,161.8110
01/09/2009,165.4240
01/10/2009,165.2630
01/11/2009,165.0540
01/12/2009,161.4490
01/01/2010,162.8120
01/02/2010,163.8290
01/03/2010,167.0270
01/04/2010,169.7040
01/05/2010,174.1960
01/06/2010,174.2630
01/07/2010,175.5540
01/08/2010,175.3960
01/09/2010,175.5680
01/10/2010,180.7950
01/11/2010,172.6430
01/12/2010,171.8000
01/01/2011,170.8530
01/02/2011,172.5100
01/03/2011,177.6150
01/04/2011,177.2340
01/05/2011,181.6090
01/06/2011,181.8180
