Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.9280
01/04/2004,106.9050
01/05/2004,107.1950
01/06/2004,107.6470
01/07/2004,108.0720
01/08/2004,108.6470
01/09/2004,109.2370
01/10/2004,106.9000
01/11/2004,114.7340
01/12/2004,114.2850
01/01/2005,114.1510
01/02/2005,118.5780
01/03/2005,119.2940
01/04/2005,120.1170
01/05/2005,120.3890
01/06/2005,119.3810
01/07/2005,120.9650
01/08/2005,121.0220
01/09/2005,123.0260
01/10/2005,124.2250
01/11/2005,124.5270
01/12/2005,125.1350
01/01/2006,125.1350
01/02/2006,125.1870
01/03/2006,129.5920
01/04/2006,134.2240
01/05/2006,134.2240
01/06/2006,135.3680
01/07/2006,135.3680
01/08/2006,136.5020
01/09/2006,136.5020
01/10/2006,135.8860
01/11/2006,135.8860
01/12/2006,136.9770
01/01/2007,138.5530
01/02/2007,138.5530
01/03/2007,139.5260
01/04/2007,139.5260
01/05/2007,141.1140
01/06/2007,141.1140
01/07/2007,143.1330
01/08/2007,147.8300
01/09/2007,148.6520
01/10/2007,148.6520
01/11/2007,149.7590
01/12/2007,149.7590
01/01/2008,149.7590
01/02/2008,149.7590
01/03/2008,149.7590
01/04/2008,159.2100
01/05/2008,159.2100
01/06/2008,159.2100
01/07/2008,159.2100
01/08/2008,159.2100
01/09/2008,159.2100
01/10/2008,170.7000
01/11/2008,170.7000
01/12/2008,178.9700
01/01/2009,179.2580
01/02/2009,178.6220
01/03/2009,178.6220
01/04/2009,174.4580
01/05/2009,175.0450
01/06/2009,165.3780
01/07/2009,170.8770
01/08/2009,170.9700
01/09/2009,172.0180
01/10/2009,172.1790
01/11/2009,174.4810
01/12/2009,174.4010
01/01/2010,176.5250
01/02/2010,176.6590
01/03/2010,176.8540
01/04/2010,177.7450
01/05/2010,180.5070
01/06/2010,182.7290
01/07/2010,182.6910
01/08/2010,182.9590
01/09/2010,182.5690
01/10/2010,181.8410
01/11/2010,182.6560
01/12/2010,182.9570
01/01/2011,184.2360
01/02/2011,185.1850
01/03/2011,183.1040
01/04/2011,184.4900
01/05/2011,187.3020
01/06/2011,187.2890
