Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,101.2960
01/03/2004,101.2960
01/04/2004,101.2960
01/05/2004,100.8490
01/06/2004,100.8490
01/07/2004,100.8490
01/08/2004,100.8490
01/09/2004,100.8490
01/10/2004,100.8490
01/11/2004,100.8490
01/12/2004,100.8490
01/01/2005,100.8490
01/02/2005,100.8490
01/03/2005,100.8490
01/04/2005,100.8490
01/05/2005,100.8490
01/06/2005,100.8490
01/07/2005,100.8490
01/08/2005,100.8490
01/09/2005,100.8490
01/10/2005,100.8490
01/11/2005,100.8490
01/12/2005,100.8490
01/01/2006,100.8490
01/02/2006,104.4390
01/03/2006,105.2400
01/04/2006,107.5860
01/05/2006,108.6720
01/06/2006,109.7040
01/07/2006,110.6250
01/08/2006,111.6430
01/09/2006,112.6250
01/10/2006,113.4920
01/11/2006,114.6830
01/12/2006,115.6000
01/01/2007,116.4890
01/02/2007,116.4890
01/03/2007,117.2270
01/04/2007,117.2270
01/05/2007,117.2270
01/06/2007,118.9880
01/07/2007,118.9880
01/08/2007,118.9880
01/09/2007,118.9880
01/10/2007,118.9880
01/11/2007,118.9880
01/12/2007,118.9880
01/01/2008,118.9880
01/02/2008,118.9880
01/03/2008,118.9880
01/04/2008,124.1400
01/05/2008,124.2260
01/06/2008,124.4740
01/07/2008,127.7970
01/08/2008,129.4710
01/09/2008,129.9890
01/10/2008,130.1180
01/11/2008,130.0530
01/12/2008,130.1170
01/01/2009,130.1820
01/02/2009,130.1820
01/03/2009,130.1820
01/04/2009,130.1820
01/05/2009,134.4120
01/06/2009,134.5870
01/07/2009,134.5870
01/08/2009,134.5870
01/09/2009,134.5870
01/10/2009,134.5870
01/11/2009,134.5870
01/12/2009,134.5870
01/01/2010,134.4420
01/02/2010,134.4420
01/03/2010,134.4420
01/04/2010,134.4420
01/05/2010,134.5920
01/06/2010,134.7900
01/07/2010,134.7900
01/08/2010,134.7900
01/09/2010,134.7900
01/10/2010,134.7900
01/11/2010,134.7900
01/12/2010,134.7900
01/01/2011,134.7900
01/02/2011,134.7900
01/03/2011,134.7900
01/04/2011,134.7900
01/05/2011,134.7900
01/06/2011,134.7900
