Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.8020
01/02/2004,101.4050
01/03/2004,101.4050
01/04/2004,101.4050
01/05/2004,101.4050
01/06/2004,100.3340
01/07/2004,100.1780
01/08/2004,100.1780
01/09/2004,101.3950
01/10/2004,102.1050
01/11/2004,102.1050
01/12/2004,102.1050
01/01/2005,102.1050
01/02/2005,102.1050
01/03/2005,103.9160
01/04/2005,103.9160
01/05/2005,103.9160
01/06/2005,103.9160
01/07/2005,103.9160
01/08/2005,103.9160
01/09/2005,104.4190
01/10/2005,105.6330
01/11/2005,105.6330
01/12/2005,105.6330
01/01/2006,105.1730
01/02/2006,105.5030
01/03/2006,105.5030
01/04/2006,105.5030
01/05/2006,105.2860
01/06/2006,106.3310
01/07/2006,107.6190
01/08/2006,108.0460
01/09/2006,108.0460
01/10/2006,108.6760
01/11/2006,109.2280
01/12/2006,109.2280
01/01/2007,109.6410
01/02/2007,109.6410
01/03/2007,109.6410
01/04/2007,109.6410
01/05/2007,109.6410
01/06/2007,109.5330
01/07/2007,109.5330
01/08/2007,108.7450
01/09/2007,108.7450
01/10/2007,108.7450
01/11/2007,114.0730
01/12/2007,114.0730
01/01/2008,115.2750
01/02/2008,118.1840
01/03/2008,118.5630
01/04/2008,118.5630
01/05/2008,118.5630
01/06/2008,118.5630
01/07/2008,117.8450
01/08/2008,118.0920
01/09/2008,122.2880
01/10/2008,122.3450
01/11/2008,122.3450
01/12/2008,122.3450
01/01/2009,122.3450
01/02/2009,122.3450
01/03/2009,122.3450
01/04/2009,121.7570
01/05/2009,121.7570
01/06/2009,121.7570
01/07/2009,118.6200
01/08/2009,119.5880
01/09/2009,121.5760
01/10/2009,121.5760
01/11/2009,121.5760
01/12/2009,121.8170
01/01/2010,121.6930
01/02/2010,122.4460
01/03/2010,122.4460
01/04/2010,122.4460
01/05/2010,122.7480
01/06/2010,122.5750
01/07/2010,122.5750
01/08/2010,116.6570
01/09/2010,116.6570
01/10/2010,116.6570
01/11/2010,116.6570
01/12/2010,116.6570
01/01/2011,116.7280
01/02/2011,116.7280
01/03/2011,116.7280
01/04/2011,116.7280
01/05/2011,116.7280
01/06/2011,116.7280
