Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,102.9590
01/08/2004,103.4140
01/09/2004,103.4140
01/10/2004,103.4140
01/11/2004,103.4140
01/12/2004,103.4140
01/01/2005,103.4140
01/02/2005,103.7760
01/03/2005,103.7030
01/04/2005,103.7030
01/05/2005,103.1610
01/06/2005,102.5460
01/07/2005,102.0390
01/08/2005,102.0030
01/09/2005,102.2930
01/10/2005,102.5460
01/11/2005,101.9670
01/12/2005,101.7860
01/01/2006,101.5690
01/02/2006,101.2440
01/03/2006,105.3630
01/04/2006,105.3630
01/05/2006,105.3630
01/06/2006,107.7630
01/07/2006,107.7630
01/08/2006,107.7630
01/09/2006,107.7630
01/10/2006,107.7630
01/11/2006,107.7630
01/12/2006,107.7630
01/01/2007,107.7630
01/02/2007,107.7630
01/03/2007,107.7630
01/04/2007,109.9310
01/05/2007,109.9310
01/06/2007,109.9310
01/07/2007,109.9310
01/08/2007,109.9310
01/09/2007,109.9310
01/10/2007,110.8870
01/11/2007,110.8870
01/12/2007,110.8870
01/01/2008,110.8870
01/02/2008,110.8870
01/03/2008,110.8870
01/04/2008,110.8870
01/05/2008,110.8870
01/06/2008,110.8870
01/07/2008,110.8870
01/08/2008,110.8870
01/09/2008,110.8870
01/10/2008,112.8170
01/11/2008,112.8170
01/12/2008,112.8170
01/01/2009,112.8170
01/02/2009,112.8170
01/03/2009,112.8170
01/04/2009,112.8170
01/05/2009,112.8170
01/06/2009,112.8170
01/07/2009,116.9980
01/08/2009,116.9980
01/09/2009,116.9980
01/10/2009,121.6690
01/11/2009,121.6690
01/12/2009,121.6690
01/01/2010,121.6690
01/02/2010,121.6690
01/03/2010,122.8500
01/04/2010,122.8500
01/05/2010,122.8500
01/06/2010,122.8500
01/07/2010,122.8500
01/08/2010,122.8500
01/09/2010,122.8500
01/10/2010,122.8500
01/11/2010,122.8500
01/12/2010,122.8500
01/01/2011,122.8500
01/02/2011,122.8500
01/03/2011,122.8500
01/04/2011,122.8500
01/05/2011,123.6260
01/06/2011,123.6260
