Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.1390
01/02/2004,104.2280
01/03/2004,104.1510
01/04/2004,105.5520
01/05/2004,107.0380
01/06/2004,106.3780
01/07/2004,106.7670
01/08/2004,106.3140
01/09/2004,106.8950
01/10/2004,106.4040
01/11/2004,106.3180
01/12/2004,105.2750
01/01/2005,107.9560
01/02/2005,107.2360
01/03/2005,107.1580
01/04/2005,107.1470
01/05/2005,106.3240
01/06/2005,105.3640
01/07/2005,104.5920
01/08/2005,104.5320
01/09/2005,100.2240
01/10/2005,100.5820
01/11/2005,99.4940
01/12/2005,99.1920
01/01/2006,98.9030
01/02/2006,99.2730
01/03/2006,100.5540
01/04/2006,102.1750
01/05/2006,102.3990
01/06/2006,104.2250
01/07/2006,102.3740
01/08/2006,100.8920
01/09/2006,101.4060
01/10/2006,101.1120
01/11/2006,100.9700
01/12/2006,100.7970
01/01/2007,101.1110
01/02/2007,101.4250
01/03/2007,102.1610
01/04/2007,101.4150
01/05/2007,100.6330
01/06/2007,100.5040
01/07/2007,100.3930
01/08/2007,101.6100
01/09/2007,101.7100
01/10/2007,100.6540
01/11/2007,100.8180
01/12/2007,100.7270
01/01/2008,101.0550
01/02/2008,100.3320
01/03/2008,100.0850
01/04/2008,98.9360
01/05/2008,98.5940
01/06/2008,97.9070
01/07/2008,97.3740
01/08/2008,96.3910
01/09/2008,99.1500
01/10/2008,109.7480
01/11/2008,112.8630
01/12/2008,114.5600
01/01/2009,117.0870
01/02/2009,120.8070
01/03/2009,124.2290
01/04/2009,117.4370
01/05/2009,116.4630
01/06/2009,116.9930
01/07/2009,117.0240
01/08/2009,114.9810
01/09/2009,117.1080
01/10/2009,116.5450
01/11/2009,115.5500
01/12/2009,114.2170
01/01/2010,116.0310
01/02/2010,115.9820
01/03/2010,113.8240
01/04/2010,111.8470
01/05/2010,114.4350
01/06/2010,114.5190
01/07/2010,115.0430
01/08/2010,114.5440
01/09/2010,115.0470
01/10/2010,113.0080
01/11/2010,112.4210
01/12/2010,112.8280
01/01/2011,111.2980
01/02/2011,110.9320
01/03/2011,110.6710
01/04/2011,109.2080
01/05/2011,108.6410
01/06/2011,109.4240
