Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.1190
01/02/2004,111.1030
01/03/2004,138.0010
01/04/2004,138.0010
01/05/2004,138.0010
01/06/2004,138.0010
01/07/2004,138.6100
01/08/2004,141.3670
01/09/2004,141.4910
01/10/2004,147.4320
01/11/2004,153.5130
01/12/2004,149.8080
01/01/2005,149.6960
01/02/2005,150.5240
01/03/2005,150.5140
01/04/2005,148.1670
01/05/2005,143.7170
01/06/2005,144.9940
01/07/2005,138.3580
01/08/2005,133.7690
01/09/2005,129.0680
01/10/2005,130.8280
01/11/2005,130.0900
01/12/2005,129.2250
01/01/2006,127.8900
01/02/2006,127.7580
01/03/2006,128.7260
01/04/2006,131.1090
01/05/2006,130.7490
01/06/2006,127.5340
01/07/2006,131.8450
01/08/2006,135.4020
01/09/2006,134.6810
01/10/2006,136.5030
01/11/2006,143.3250
01/12/2006,139.4220
01/01/2007,130.3920
01/02/2007,129.4360
01/03/2007,129.1690
01/04/2007,129.8950
01/05/2007,135.6170
01/06/2007,138.9820
01/07/2007,143.6280
01/08/2007,144.0070
01/09/2007,146.3310
01/10/2007,156.2040
01/11/2007,156.5170
01/12/2007,152.8560
01/01/2008,155.2670
01/02/2008,162.5560
01/03/2008,178.6760
01/04/2008,192.9460
01/05/2008,203.7280
01/06/2008,231.7310
01/07/2008,248.8780
01/08/2008,250.6940
01/09/2008,257.0360
01/10/2008,263.1520
01/11/2008,282.6390
01/12/2008,276.2870
01/01/2009,246.9970
01/02/2009,200.3220
01/03/2009,189.6250
01/04/2009,178.4830
01/05/2009,155.9080
01/06/2009,147.9550
01/07/2009,143.0030
01/08/2009,142.0990
01/09/2009,150.5670
01/10/2009,151.3360
01/11/2009,151.0830
01/12/2009,148.4840
01/01/2010,151.0640
01/02/2010,156.0990
01/03/2010,158.9750
01/04/2010,164.5180
01/05/2010,171.7330
01/06/2010,183.6120
01/07/2010,182.1170
01/08/2010,178.6940
01/09/2010,179.5090
01/10/2010,186.5750
01/11/2010,180.3800
01/12/2010,184.5590
01/01/2011,194.2760
01/02/2011,185.7290
01/03/2011,184.2730
01/04/2011,201.2180
01/05/2011,177.3380
01/06/2011,170.2240
