Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,133.0200
01/03/2004,153.5600
01/04/2004,153.5600
01/05/2004,153.5600
01/06/2004,153.5600
01/07/2004,170.6220
01/08/2004,170.6220
01/09/2004,165.5030
01/10/2004,165.5030
01/11/2004,168.9160
01/12/2004,163.7970
01/01/2005,156.9720
01/02/2005,158.6780
01/03/2005,151.8540
01/04/2005,148.4410
01/05/2005,148.4410
01/06/2005,146.7350
01/07/2005,139.9100
01/08/2005,138.0280
01/09/2005,134.3990
01/10/2005,133.9500
01/11/2005,133.5560
01/12/2005,133.2100
01/01/2006,132.2610
01/02/2006,132.2610
01/03/2006,130.1770
01/04/2006,132.1260
01/05/2006,135.0130
01/06/2006,138.7800
01/07/2006,145.7570
01/08/2006,147.9100
01/09/2006,147.2150
01/10/2006,141.3540
01/11/2006,141.7760
01/12/2006,139.5700
01/01/2007,134.3620
01/02/2007,135.0100
01/03/2007,134.7500
01/04/2007,135.2690
01/05/2007,149.7540
01/06/2007,149.1190
01/07/2007,150.6740
01/08/2007,144.7030
01/09/2007,151.9890
01/10/2007,146.0180
01/11/2007,152.1460
01/12/2007,150.0650
01/01/2008,163.7210
01/02/2008,169.1300
01/03/2008,200.5890
01/04/2008,219.7140
01/05/2008,228.1160
01/06/2008,248.0380
01/07/2008,262.3050
01/08/2008,268.8360
01/09/2008,266.7440
01/10/2008,264.4980
01/11/2008,275.9600
01/12/2008,267.8440
01/01/2009,242.6290
01/02/2009,220.9170
01/03/2009,210.2500
01/04/2009,204.5260
01/05/2009,174.9360
01/06/2009,158.6000
01/07/2009,155.8150
01/08/2009,164.6430
01/09/2009,167.7130
01/10/2009,168.6790
01/11/2009,155.7350
01/12/2009,161.4290
01/01/2010,161.8780
01/02/2010,167.5910
01/03/2010,171.5430
01/04/2010,181.2560
01/05/2010,187.6680
01/06/2010,197.2390
01/07/2010,192.5050
01/08/2010,191.1430
01/09/2010,187.5510
01/10/2010,195.6840
01/11/2010,192.7390
01/12/2010,195.2560
01/01/2011,209.8580
01/02/2011,201.6150
01/03/2011,203.1880
01/04/2011,216.4420
01/05/2011,196.1230
01/06/2011,185.2230
