Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.8330
01/02/2004,117.9820
01/03/2004,139.2410
01/04/2004,165.4190
01/05/2004,181.0380
01/06/2004,184.7870
01/07/2004,177.3180
01/08/2004,173.8080
01/09/2004,168.8390
01/10/2004,166.7790
01/11/2004,169.7380
01/12/2004,168.1030
01/01/2005,159.9460
01/02/2005,152.9850
01/03/2005,144.1890
01/04/2005,135.2440
01/05/2005,128.2740
01/06/2005,119.2490
01/07/2005,117.3140
01/08/2005,118.3010
01/09/2005,120.7840
01/10/2005,125.0820
01/11/2005,126.5180
01/12/2005,126.0700
01/01/2006,126.2690
01/02/2006,129.2610
01/03/2006,137.0290
01/04/2006,163.6650
01/05/2006,180.2990
01/06/2006,189.2940
01/07/2006,187.6780
01/08/2006,185.8040
01/09/2006,178.2450
01/10/2006,154.8990
01/11/2006,152.7850
01/12/2006,145.8550
01/01/2007,154.5040
01/02/2007,159.0540
01/03/2007,162.9920
01/04/2007,164.9910
01/05/2007,165.2240
01/06/2007,162.9050
01/07/2007,158.0480
01/08/2007,158.9670
01/09/2007,164.9760
01/10/2007,168.3010
01/11/2007,157.4350
01/12/2007,153.2930
01/01/2008,156.7640
01/02/2008,186.6650
01/03/2008,199.7240
01/04/2008,221.7730
01/05/2008,245.9530
01/06/2008,260.0920
01/07/2008,260.7620
01/08/2008,247.2830
01/09/2008,235.3730
01/10/2008,221.5030
01/11/2008,207.2140
01/12/2008,181.9650
01/01/2009,169.3950
01/02/2009,176.5250
01/03/2009,184.9840
01/04/2009,183.3440
01/05/2009,167.5050
01/06/2009,159.8850
01/07/2009,155.1050
01/08/2009,160.5950
01/09/2009,168.2650
01/10/2009,159.6700
01/11/2009,155.4720
01/12/2009,173.7810
01/01/2010,183.8230
01/02/2010,189.9530
01/03/2010,192.2410
01/04/2010,194.1920
01/05/2010,191.9820
01/06/2010,186.0000
01/07/2010,178.7830
01/08/2010,174.2550
01/09/2010,171.8480
01/10/2010,177.6490
01/11/2010,178.6120
01/12/2010,178.1810
01/01/2011,183.7140
01/02/2011,192.5230
01/03/2011,192.4470
01/04/2011,192.1190
01/05/2011,192.2180
01/06/2011,194.2360
