Fecha,Dato
01/12/2003,100.0000
01/01/2004,95.3980
01/02/2004,102.6240
01/03/2004,135.0310
01/04/2004,139.8920
01/05/2004,144.4320
01/06/2004,141.6870
01/07/2004,146.3540
01/08/2004,154.0590
01/09/2004,154.3520
01/10/2004,164.5990
01/11/2004,166.7240
01/12/2004,166.7240
01/01/2005,165.0780
01/02/2005,166.0140
01/03/2005,165.5830
01/04/2005,165.5830
01/05/2005,168.9070
01/06/2005,166.9340
01/07/2005,166.3620
01/08/2005,161.0660
01/09/2005,161.1080
01/10/2005,172.5510
01/11/2005,175.3650
01/12/2005,175.9980
01/01/2006,172.1000
01/02/2006,174.5460
01/03/2006,177.4620
01/04/2006,183.3910
01/05/2006,193.9120
01/06/2006,199.7170
01/07/2006,212.4310
01/08/2006,216.1910
01/09/2006,211.4640
01/10/2006,211.4640
01/11/2006,209.3220
01/12/2006,207.4510
01/01/2007,207.4510
01/02/2007,205.2480
01/03/2007,204.9800
01/04/2007,203.8220
01/05/2007,209.2350
01/06/2007,210.4600
01/07/2007,211.7200
01/08/2007,216.0670
01/09/2007,219.0110
01/10/2007,221.1570
01/11/2007,225.3230
01/12/2007,229.6210
01/01/2008,234.3550
01/02/2008,245.6580
01/03/2008,264.8310
01/04/2008,282.3610
01/05/2008,300.8690
01/06/2008,310.7820
01/07/2008,323.9500
01/08/2008,330.6590
01/09/2008,335.2560
01/10/2008,338.7500
01/11/2008,331.1800
01/12/2008,318.8450
01/01/2009,318.6010
01/02/2009,281.7030
01/03/2009,261.5220
01/04/2009,258.9930
01/05/2009,254.2080
01/06/2009,246.8120
01/07/2009,243.3410
01/08/2009,248.0430
01/09/2009,261.2940
01/10/2009,257.3620
01/11/2009,254.6810
01/12/2009,256.9190
01/01/2010,251.5670
01/02/2010,252.2950
01/03/2010,254.0910
01/04/2010,260.6570
01/05/2010,265.8720
01/06/2010,272.0340
01/07/2010,272.5130
01/08/2010,272.7800
01/09/2010,272.7860
01/10/2010,271.7820
01/11/2010,271.8450
01/12/2010,270.4640
01/01/2011,275.4270
01/02/2011,286.2160
01/03/2011,289.6820
01/04/2011,290.9800
01/05/2011,290.6400
01/06/2011,294.4600
