Fecha,Dato
01/12/2003,100.0000
01/01/2004,109.4940
01/02/2004,123.6230
01/03/2004,132.9820
01/04/2004,135.8090
01/05/2004,140.5660
01/06/2004,131.0580
01/07/2004,134.2600
01/08/2004,138.1640
01/09/2004,143.9120
01/10/2004,144.4220
01/11/2004,150.1050
01/12/2004,153.2010
01/01/2005,156.2590
01/02/2005,155.1440
01/03/2005,158.0070
01/04/2005,158.3750
01/05/2005,156.4130
01/06/2005,160.6890
01/07/2005,165.4570
01/08/2005,169.0700
01/09/2005,174.2860
01/10/2005,180.3290
01/11/2005,192.3890
01/12/2005,200.9090
01/01/2006,214.8240
01/02/2006,216.0230
01/03/2006,227.4040
01/04/2006,268.9520
01/05/2006,342.2190
01/06/2006,384.7810
01/07/2006,373.9290
01/08/2006,361.7060
01/09/2006,356.5580
01/10/2006,348.7590
01/11/2006,323.3600
01/12/2006,307.6470
01/01/2007,259.9580
01/02/2007,263.2860
01/03/2007,302.9310
01/04/2007,359.4250
01/05/2007,350.8510
01/06/2007,340.8570
01/07/2007,362.2250
01/08/2007,345.2990
01/09/2007,353.7960
01/10/2007,361.4650
01/11/2007,315.1320
01/12/2007,303.5200
01/01/2008,328.1920
01/02/2008,356.7060
01/03/2008,379.2580
01/04/2008,383.7810
01/05/2008,368.5790
01/06/2008,356.5950
01/07/2008,360.5230
01/08/2008,323.7950
01/09/2008,312.2630
01/10/2008,280.7510
01/11/2008,215.0690
01/12/2008,183.7130
01/01/2009,193.4460
01/02/2009,209.9270
01/03/2009,230.8220
01/04/2009,258.7210
01/05/2009,261.2050
01/06/2009,289.9190
01/07/2009,296.2650
01/08/2009,343.0650
01/09/2009,421.5440
01/10/2009,396.2850
01/11/2009,421.8490
01/12/2009,437.5470
01/01/2010,456.9600
01/02/2010,429.1850
01/03/2010,452.8920
01/04/2010,455.9080
01/05/2010,418.9650
01/06/2010,397.9140
01/07/2010,414.0030
01/08/2010,443.3120
01/09/2010,472.1040
01/10/2010,496.2980
01/11/2010,499.4780
01/12/2010,539.3690
01/01/2011,552.6660
01/02/2011,565.6650
01/03/2011,545.2320
01/04/2011,531.4450
01/05/2011,495.5300
01/06/2011,506.1900
