Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,108.4780
01/03/2004,132.0350
01/04/2004,132.0280
01/05/2004,132.0280
01/06/2004,132.0280
01/07/2004,132.0280
01/08/2004,132.0280
01/09/2004,132.0280
01/10/2004,132.0280
01/11/2004,132.0280
01/12/2004,132.0280
01/01/2005,132.0280
01/02/2005,132.0280
01/03/2005,132.0280
01/04/2005,135.5820
01/05/2005,133.2280
01/06/2005,139.5430
01/07/2005,138.3500
01/08/2005,137.6720
01/09/2005,137.6720
01/10/2005,147.1530
01/11/2005,153.8780
01/12/2005,158.9410
01/01/2006,168.0390
01/02/2006,167.1750
01/03/2006,186.9010
01/04/2006,200.2680
01/05/2006,239.5560
01/06/2006,296.2210
01/07/2006,278.4490
01/08/2006,270.1460
01/09/2006,267.7170
01/10/2006,263.0640
01/11/2006,242.3840
01/12/2006,233.0930
01/01/2007,206.0710
01/02/2007,211.1170
01/03/2007,233.1570
01/04/2007,265.4770
01/05/2007,259.7170
01/06/2007,251.8510
01/07/2007,263.7320
01/08/2007,255.4590
01/09/2007,260.3290
01/10/2007,263.6280
01/11/2007,237.7130
01/12/2007,231.0710
01/01/2008,243.0090
01/02/2008,260.5460
01/03/2008,272.3220
01/04/2008,274.2100
01/05/2008,264.8050
01/06/2008,254.9740
01/07/2008,256.7320
01/08/2008,234.5520
01/09/2008,230.7440
01/10/2008,222.8000
01/11/2008,198.6160
01/12/2008,180.6920
01/01/2009,195.3080
01/02/2009,205.5530
01/03/2009,217.0690
01/04/2009,223.3440
01/05/2009,227.1360
01/06/2009,239.7920
01/07/2009,238.0510
01/08/2009,259.6620
01/09/2009,294.9770
01/10/2009,295.3190
01/11/2009,303.8110
01/12/2009,315.0260
01/01/2010,319.8310
01/02/2010,307.4320
01/03/2010,321.8800
01/04/2010,324.4480
01/05/2010,322.2860
01/06/2010,309.2880
01/07/2010,317.7810
01/08/2010,324.9530
01/09/2010,338.3720
01/10/2010,344.0670
01/11/2010,345.6340
01/12/2010,362.4200
01/01/2011,365.9830
01/02/2011,371.3680
01/03/2011,364.4120
01/04/2011,358.3080
01/05/2011,342.4790
01/06/2011,348.3710
