Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.3520
01/02/2004,98.9350
01/03/2004,101.2260
01/04/2004,103.2370
01/05/2004,104.3270
01/06/2004,103.2650
01/07/2004,103.6090
01/08/2004,103.1100
01/09/2004,103.1880
01/10/2004,105.1870
01/11/2004,106.9070
01/12/2004,106.3030
01/01/2005,107.0380
01/02/2005,106.7960
01/03/2005,106.7720
01/04/2005,105.3550
01/05/2005,101.1990
01/06/2005,96.5070
01/07/2005,98.9350
01/08/2005,100.5060
01/09/2005,100.8530
01/10/2005,103.4690
01/11/2005,105.6050
01/12/2005,109.2440
01/01/2006,115.2420
01/02/2006,117.9340
01/03/2006,120.2240
01/04/2006,127.2900
01/05/2006,140.1780
01/06/2006,136.3130
01/07/2006,134.6780
01/08/2006,132.2280
01/09/2006,131.1450
01/10/2006,134.8420
01/11/2006,135.6850
01/12/2006,137.8570
01/01/2007,138.2050
01/02/2007,138.9840
01/03/2007,136.7810
01/04/2007,137.7670
01/05/2007,136.4300
01/06/2007,137.7500
01/07/2007,138.7460
01/08/2007,139.4150
01/09/2007,136.0430
01/10/2007,129.9070
01/11/2007,128.7420
01/12/2007,125.5260
01/01/2008,127.4040
01/02/2008,134.8660
01/03/2008,143.0950
01/04/2008,142.9510
01/05/2008,140.4990
01/06/2008,139.8120
01/07/2008,141.5870
01/08/2008,135.4750
01/09/2008,132.7570
01/10/2008,136.9910
01/11/2008,125.4600
01/12/2008,120.0250
01/01/2009,113.8300
01/02/2009,110.4460
01/03/2009,115.5910
01/04/2009,107.7450
01/05/2009,108.0460
01/06/2009,110.0260
01/07/2009,111.7880
01/08/2009,116.8250
01/09/2009,121.3670
01/10/2009,119.5040
01/11/2009,125.0410
01/12/2009,123.7070
01/01/2010,134.3650
01/02/2010,131.3940
01/03/2010,132.1730
01/04/2010,130.2640
01/05/2010,124.0770
01/06/2010,122.8090
01/07/2010,124.3810
01/08/2010,127.6340
01/09/2010,128.6280
01/10/2010,133.3370
01/11/2010,132.4340
01/12/2010,133.3200
01/01/2011,137.9850
01/02/2011,138.8650
01/03/2011,139.3510
01/04/2011,139.5360
01/05/2011,135.9240
01/06/2011,136.3850
