Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.6950
01/02/2004,97.2950
01/03/2004,97.5740
01/04/2004,98.9610
01/05/2004,97.5550
01/06/2004,93.5710
01/07/2004,100.8640
01/08/2004,100.8080
01/09/2004,102.7820
01/10/2004,105.7570
01/11/2004,110.5520
01/12/2004,109.4430
01/01/2005,105.4010
01/02/2005,104.2070
01/03/2005,106.8540
01/04/2005,105.4420
01/05/2005,102.4520
01/06/2005,103.0330
01/07/2005,100.2590
01/08/2005,103.1630
01/09/2005,108.5840
01/10/2005,112.3700
01/11/2005,112.5290
01/12/2005,119.5390
01/01/2006,128.3680
01/02/2006,128.4610
01/03/2006,131.7110
01/04/2006,148.6140
01/05/2006,165.0580
01/06/2006,149.7910
01/07/2006,154.5480
01/08/2006,151.9240
01/09/2006,144.9550
01/10/2006,141.5960
01/11/2006,151.0500
01/12/2006,151.1080
01/01/2007,152.3670
01/02/2007,161.6140
01/03/2007,160.8680
01/04/2007,164.9450
01/05/2007,159.5460
01/06/2007,156.5750
01/07/2007,158.6020
01/08/2007,162.1330
01/09/2007,173.0070
01/10/2007,180.7680
01/11/2007,193.4060
01/12/2007,191.3520
01/01/2008,193.6420
01/02/2008,219.5870
01/03/2008,229.5190
01/04/2008,211.5280
01/05/2008,205.2070
01/06/2008,202.9000
01/07/2008,212.5720
01/08/2008,189.7420
01/09/2008,194.2580
01/10/2008,221.7040
01/11/2008,220.1480
01/12/2008,241.0550
01/01/2009,262.4440
01/02/2009,302.4260
01/03/2009,302.0110
01/04/2009,264.4610
01/05/2009,272.1480
01/06/2009,278.8210
01/07/2009,275.5620
01/08/2009,272.4260
01/09/2009,294.6800
01/10/2009,305.9310
01/11/2009,326.9400
01/12/2009,321.7360
01/01/2010,316.4400
01/02/2010,313.2620
01/03/2010,310.2890
01/04/2010,310.1390
01/05/2010,337.3920
01/06/2010,346.4180
01/07/2010,338.1060
01/08/2010,341.4780
01/09/2010,360.5230
01/10/2010,369.0150
01/11/2010,372.7010
01/12/2010,380.5010
01/01/2011,363.9970
01/02/2011,365.9990
01/03/2011,377.9040
01/04/2011,380.7040
01/05/2011,387.6660
01/06/2011,398.6910
