Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.7400
01/02/2004,101.8600
01/03/2004,105.6000
01/04/2004,107.9500
01/05/2004,111.1700
01/06/2004,111.6600
01/07/2004,112.2700
01/08/2004,112.7100
01/09/2004,113.4100
01/10/2004,114.4600
01/11/2004,115.2800
01/12/2004,115.7000
01/01/2005,116.5400
01/02/2005,117.3100
01/03/2005,117.6600
01/04/2005,117.7600
01/05/2005,118.5100
01/06/2005,118.8100
01/07/2005,118.7400
01/08/2005,118.7300
01/09/2005,118.7900
01/10/2005,119.2700
01/11/2005,119.7500
01/12/2005,120.3100
01/01/2006,120.7900
01/02/2006,121.7000
01/03/2006,122.4400
01/04/2006,122.9000
01/05/2006,124.3100
01/06/2006,125.1300
01/07/2006,125.5800
01/08/2006,124.8100
01/09/2006,125.8300
01/10/2006,126.8700
01/11/2006,127.4700
01/12/2006,128.4800
01/01/2007,128.7800
01/02/2007,129.2500
01/03/2007,129.5200
01/04/2007,129.7800
01/05/2007,131.0400
01/06/2007,132.0200
01/07/2007,132.2600
01/08/2007,132.6000
01/09/2007,132.7200
01/10/2007,132.9600
01/11/2007,132.8500
01/12/2007,133.0100
01/01/2008,133.4700
01/02/2008,135.2100
01/03/2008,136.8600
01/04/2008,138.6900
01/05/2008,141.8000
01/06/2008,142.4300
01/07/2008,143.8300
01/08/2008,144.0700
01/09/2008,144.8100
01/10/2008,146.0200
01/11/2008,147.7200
01/12/2008,148.3900
01/01/2009,149.5000
01/02/2009,150.6200
01/03/2009,151.9500
01/04/2009,152.6500
01/05/2009,152.4200
01/06/2009,151.8500
01/07/2009,151.8700
01/08/2009,152.0500
01/09/2009,152.5500
01/10/2009,152.6860
01/11/2009,152.8160
01/12/2009,152.9930
01/01/2010,153.1250
01/02/2010,154.0450
01/03/2010,154.5200
01/04/2010,154.6480
01/05/2010,154.9370
01/06/2010,155.2030
01/07/2010,156.3730
01/08/2010,158.3650
01/09/2010,158.6130
01/10/2010,159.2650
01/11/2010,160.2500
01/12/2010,161.4890
01/01/2011,162.9080
01/02/2011,164.3410
01/03/2011,164.7910
01/04/2011,164.9180
01/05/2011,165.1630
01/06/2011,165.6240
