Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.1470
01/02/2004,102.1470
01/03/2004,108.3010
01/04/2004,109.0710
01/05/2004,110.4040
01/06/2004,110.4040
01/07/2004,110.4040
01/08/2004,113.7880
01/09/2004,117.1730
01/10/2004,117.5660
01/11/2004,131.6390
01/12/2004,133.2020
01/01/2005,136.3180
01/02/2005,137.2870
01/03/2005,137.2870
01/04/2005,137.2870
01/05/2005,137.2870
01/06/2005,137.2870
01/07/2005,137.2870
01/08/2005,137.2870
01/09/2005,137.2870
01/10/2005,137.2870
01/11/2005,137.2870
01/12/2005,137.2870
01/01/2006,137.2870
01/02/2006,137.9720
01/03/2006,137.9720
01/04/2006,137.9720
01/05/2006,137.9720
01/06/2006,138.5140
01/07/2006,135.3450
01/08/2006,135.3450
01/09/2006,135.3450
01/10/2006,137.9630
01/11/2006,137.9630
01/12/2006,137.9630
01/01/2007,137.9630
01/02/2007,137.9630
01/03/2007,138.4970
01/04/2007,137.7400
01/05/2007,137.7400
01/06/2007,137.7400
01/07/2007,137.7400
01/08/2007,137.7400
01/09/2007,137.7400
01/10/2007,137.7400
01/11/2007,137.7400
01/12/2007,139.5910
01/01/2008,139.5910
01/02/2008,144.8540
01/03/2008,144.8540
01/04/2008,148.0950
01/05/2008,160.1660
01/06/2008,171.2760
01/07/2008,171.2760
01/08/2008,171.2760
01/09/2008,171.2760
01/10/2008,171.2760
01/11/2008,172.7370
01/12/2008,173.3490
01/01/2009,174.3810
01/02/2009,177.2450
01/03/2009,177.8440
01/04/2009,174.8680
01/05/2009,174.4610
01/06/2009,174.6410
01/07/2009,174.6530
01/08/2009,173.8550
01/09/2009,174.7310
01/10/2009,174.4830
01/11/2009,175.3980
01/12/2009,177.5710
01/01/2010,178.5870
01/02/2010,179.7730
01/03/2010,179.0230
01/04/2010,178.1800
01/05/2010,192.1200
01/06/2010,192.2290
01/07/2010,192.4750
01/08/2010,192.2180
01/09/2010,192.4960
01/10/2010,192.4960
01/11/2010,192.4960
01/12/2010,192.4960
01/01/2011,192.4960
01/02/2011,194.0870
01/03/2011,194.0870
01/04/2011,194.0870
01/05/2011,194.0870
01/06/2011,194.0870
