Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,125.1370
01/03/2004,132.5720
01/04/2004,155.5650
01/05/2004,166.8630
01/06/2004,166.8630
01/07/2004,166.8630
01/08/2004,171.1520
01/09/2004,171.1520
01/10/2004,171.1520
01/11/2004,171.1520
01/12/2004,171.1520
01/01/2005,171.1520
01/02/2005,171.1520
01/03/2005,171.1520
01/04/2005,171.6670
01/05/2005,171.6670
01/06/2005,171.6670
01/07/2005,171.6670
01/08/2005,171.6670
01/09/2005,164.7820
01/10/2005,164.7820
01/11/2005,167.2960
01/12/2005,171.1360
01/01/2006,171.1360
01/02/2006,171.1360
01/03/2006,171.1360
01/04/2006,171.1360
01/05/2006,174.5280
01/06/2006,174.5280
01/07/2006,174.5280
01/08/2006,174.5280
01/09/2006,188.1220
01/10/2006,188.1220
01/11/2006,188.1220
01/12/2006,188.1220
01/01/2007,188.1220
01/02/2007,188.1220
01/03/2007,188.1220
01/04/2007,188.1220
01/05/2007,188.1220
01/06/2007,188.1220
01/07/2007,188.1220
01/08/2007,188.1220
01/09/2007,188.1220
01/10/2007,188.1220
01/11/2007,188.1220
01/12/2007,188.1220
01/01/2008,188.1220
01/02/2008,188.1220
01/03/2008,188.1220
01/04/2008,212.4460
01/05/2008,232.5960
01/06/2008,242.5360
01/07/2008,252.8650
01/08/2008,246.2450
01/09/2008,230.8760
01/10/2008,216.4560
01/11/2008,208.6760
01/12/2008,183.3270
01/01/2009,172.4870
01/02/2009,169.9570
01/03/2009,173.6670
01/04/2009,172.2970
01/05/2009,164.2770
01/06/2009,161.1870
01/07/2009,156.2470
01/08/2009,160.3470
01/09/2009,166.2270
01/10/2009,160.7470
01/11/2009,157.8740
01/12/2009,165.6970
01/01/2010,168.6050
01/02/2010,169.5830
01/03/2010,171.2530
01/04/2010,164.7990
01/05/2010,166.1590
01/06/2010,157.6650
01/07/2010,157.6730
01/08/2010,156.1250
01/09/2010,155.5630
01/10/2010,161.4640
01/11/2010,163.7600
01/12/2010,165.8590
01/01/2011,170.5800
01/02/2011,177.2600
01/03/2011,178.8000
01/04/2011,177.4050
01/05/2011,176.4320
01/06/2011,179.1700
