Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.7060
01/02/2004,103.3790
01/03/2004,103.3640
01/04/2004,103.5860
01/05/2004,103.8190
01/06/2004,103.7020
01/07/2004,103.7860
01/08/2004,103.7190
01/09/2004,103.7960
01/10/2004,103.7120
01/11/2004,103.7150
01/12/2004,103.5520
01/01/2005,103.5930
01/02/2005,103.5850
01/03/2005,103.5800
01/04/2005,103.5650
01/05/2005,103.4510
01/06/2005,103.3050
01/07/2005,103.1810
01/08/2005,104.9540
01/09/2005,104.8990
01/10/2005,105.0960
01/11/2005,104.9490
01/12/2005,104.8650
01/01/2006,104.8220
01/02/2006,104.7270
01/03/2006,106.3320
01/04/2006,106.6650
01/05/2006,106.7150
01/06/2006,107.5810
01/07/2006,107.2000
01/08/2006,107.0130
01/09/2006,107.1220
01/10/2006,107.0730
01/11/2006,107.0350
01/12/2006,107.0020
01/01/2007,107.0760
01/02/2007,107.1400
01/03/2007,107.2880
01/04/2007,107.1450
01/05/2007,106.9670
01/06/2007,115.9620
01/07/2007,115.5840
01/08/2007,118.1310
01/09/2007,118.2740
01/10/2007,116.1470
01/11/2007,116.3070
01/12/2007,116.2340
01/01/2008,116.8900
01/02/2008,115.4360
01/03/2008,114.9080
01/04/2008,112.7380
01/05/2008,114.5100
01/06/2008,113.1180
01/07/2008,117.4850
01/08/2008,116.2880
01/09/2008,120.8340
01/10/2008,138.0040
01/11/2008,141.1680
01/12/2008,143.1100
01/01/2009,145.5710
01/02/2009,148.8520
01/03/2009,158.9050
01/04/2009,151.9870
01/05/2009,151.0420
01/06/2009,151.4600
01/07/2009,151.4880
01/08/2009,149.6330
01/09/2009,151.6690
01/10/2009,151.0930
01/11/2009,150.3460
01/12/2009,148.8100
01/01/2010,148.6960
01/02/2010,149.4230
01/03/2010,147.6810
01/04/2010,145.7220
01/05/2010,147.0920
01/06/2010,147.3460
01/07/2010,147.9190
01/08/2010,147.3200
01/09/2010,147.9680
01/10/2010,145.9370
01/11/2010,145.2570
01/12/2010,145.6820
01/01/2011,144.3870
01/02/2011,143.9810
01/03/2011,143.6890
01/04/2011,142.2870
01/05/2011,143.2520
01/06/2011,144.0420
