Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.0690
01/02/2004,99.3050
01/03/2004,99.2680
01/04/2004,99.9680
01/05/2004,100.7110
01/06/2004,100.3820
01/07/2004,100.5760
01/08/2004,96.9020
01/09/2004,97.1700
01/10/2004,96.9490
01/11/2004,96.9100
01/12/2004,96.4410
01/01/2005,100.4910
01/02/2005,104.7970
01/03/2005,104.7540
01/04/2005,104.7490
01/05/2005,104.2970
01/06/2005,103.7700
01/07/2005,100.4110
01/08/2005,100.3810
01/09/2005,100.6170
01/10/2005,100.8110
01/11/2005,100.3790
01/12/2005,100.2140
01/01/2006,100.0560
01/02/2006,99.8120
01/03/2006,100.5010
01/04/2006,101.7790
01/05/2006,101.9000
01/06/2006,105.5490
01/07/2006,104.4640
01/08/2006,103.8870
01/09/2006,104.1880
01/10/2006,104.0160
01/11/2006,107.0580
01/12/2006,106.9570
01/01/2007,108.2880
01/02/2007,108.4040
01/03/2007,108.9240
01/04/2007,108.8090
01/05/2007,109.0810
01/06/2007,109.0000
01/07/2007,108.9310
01/08/2007,109.8150
01/09/2007,109.8770
01/10/2007,110.6870
01/11/2007,112.3560
01/12/2007,112.9350
01/01/2008,113.1540
01/02/2008,115.2650
01/03/2008,115.0910
01/04/2008,120.4220
01/05/2008,120.9030
01/06/2008,127.2400
01/07/2008,127.2400
01/08/2008,127.2400
01/09/2008,127.2400
01/10/2008,133.2570
01/11/2008,135.1920
01/12/2008,135.1920
01/01/2009,144.2580
01/02/2009,149.1090
01/03/2009,149.7240
01/04/2009,136.0040
01/05/2009,135.3480
01/06/2009,135.6860
01/07/2009,140.5700
01/08/2009,139.1640
01/09/2009,140.6620
01/10/2009,140.2650
01/11/2009,139.5640
01/12/2009,138.6250
01/01/2010,138.7380
01/02/2010,139.4390
01/03/2010,137.8840
01/04/2010,136.4590
01/05/2010,138.3240
01/06/2010,138.3850
01/07/2010,137.1000
01/08/2010,136.7520
01/09/2010,137.1020
01/10/2010,135.6810
01/11/2010,134.7470
01/12/2010,135.0750
01/01/2011,134.0750
01/02/2011,141.8730
01/03/2011,144.3070
01/04/2011,143.2250
01/05/2011,142.8120
01/06/2011,143.4070
