Fecha,Dato
01/12/2003,100.0000
01/01/2004,106.3440
01/02/2004,106.4060
01/03/2004,106.4060
01/04/2004,112.6890
01/05/2004,112.6890
01/06/2004,112.6890
01/07/2004,116.2610
01/08/2004,116.2610
01/09/2004,116.2610
01/10/2004,114.9450
01/11/2004,113.7930
01/12/2004,113.7930
01/01/2005,115.4020
01/02/2005,116.6610
01/03/2005,116.6610
01/04/2005,116.6610
01/05/2005,116.6610
01/06/2005,117.3530
01/07/2005,118.0450
01/08/2005,118.0450
01/09/2005,120.6620
01/10/2005,120.6620
01/11/2005,126.6410
01/12/2005,127.7350
01/01/2006,128.2540
01/02/2006,129.7460
01/03/2006,131.1350
01/04/2006,131.4840
01/05/2006,137.6380
01/06/2006,143.7260
01/07/2006,143.7260
01/08/2006,143.7260
01/09/2006,143.7260
01/10/2006,147.3900
01/11/2006,147.3900
01/12/2006,147.3900
01/01/2007,147.3900
01/02/2007,147.3900
01/03/2007,150.6580
01/04/2007,150.6580
01/05/2007,154.5740
01/06/2007,156.2680
01/07/2007,156.2680
01/08/2007,156.2680
01/09/2007,156.2680
01/10/2007,158.5320
01/11/2007,161.8130
01/12/2007,161.8130
01/01/2008,161.8130
01/02/2008,165.6640
01/03/2008,166.0950
01/04/2008,166.0950
01/05/2008,170.9560
01/06/2008,170.9560
01/07/2008,170.9560
01/08/2008,170.9560
01/09/2008,170.9560
01/10/2008,182.9750
01/11/2008,188.8720
01/12/2008,188.8720
01/01/2009,188.8720
01/02/2009,194.8900
01/03/2009,194.7700
01/04/2009,194.7700
01/05/2009,194.7700
01/06/2009,195.8480
01/07/2009,195.8480
01/08/2009,195.8480
01/09/2009,196.9160
01/10/2009,199.3880
01/11/2009,199.3880
01/12/2009,200.6210
01/01/2010,203.0070
01/02/2010,213.6630
01/03/2010,213.6630
01/04/2010,213.6630
01/05/2010,209.6730
01/06/2010,209.6730
01/07/2010,209.6730
01/08/2010,210.2860
01/09/2010,211.1810
01/10/2010,210.7000
01/11/2010,210.5390
01/12/2010,210.6400
01/01/2011,214.6310
01/02/2011,215.1750
01/03/2011,215.1060
01/04/2011,214.7740
01/05/2011,214.6470
01/06/2011,214.8300
