Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,108.5560
01/03/2004,108.7560
01/04/2004,109.6850
01/05/2004,112.8840
01/06/2004,113.3880
01/07/2004,113.3880
01/08/2004,113.3880
01/09/2004,113.3880
01/10/2004,113.2730
01/11/2004,113.1720
01/12/2004,113.1720
01/01/2005,113.8970
01/02/2005,116.3090
01/03/2005,116.3090
01/04/2005,116.3090
01/05/2005,116.3090
01/06/2005,116.3090
01/07/2005,116.3090
01/08/2005,116.3090
01/09/2005,116.3090
01/10/2005,116.3090
01/11/2005,118.5100
01/12/2005,118.8910
01/01/2006,119.4140
01/02/2006,119.4140
01/03/2006,119.4140
01/04/2006,119.4140
01/05/2006,119.4140
01/06/2006,123.4310
01/07/2006,123.4310
01/08/2006,123.4310
01/09/2006,123.4310
01/10/2006,124.2370
01/11/2006,123.8380
01/12/2006,123.8380
01/01/2007,123.8380
01/02/2007,123.8380
01/03/2007,125.0020
01/04/2007,125.0020
01/05/2007,125.0020
01/06/2007,125.0020
01/07/2007,125.0020
01/08/2007,125.0020
01/09/2007,125.0020
01/10/2007,125.1550
01/11/2007,124.9010
01/12/2007,124.9010
01/01/2008,125.6890
01/02/2008,126.0510
01/03/2008,126.0510
01/04/2008,126.0510
01/05/2008,126.4860
01/06/2008,137.9480
01/07/2008,139.5700
01/08/2008,139.5700
01/09/2008,139.5700
01/10/2008,143.8850
01/11/2008,145.3200
01/12/2008,145.3200
01/01/2009,155.6310
01/02/2009,156.5340
01/03/2009,158.0180
01/04/2009,158.0180
01/05/2009,158.0180
01/06/2009,158.0180
01/07/2009,158.0180
01/08/2009,158.0180
01/09/2009,158.1200
01/10/2009,158.3390
01/11/2009,158.3390
01/12/2009,158.3390
01/01/2010,162.7560
01/02/2010,163.3250
01/03/2010,163.3250
01/04/2010,163.3250
01/05/2010,163.3250
01/06/2010,161.8950
01/07/2010,161.8950
01/08/2010,164.0240
01/09/2010,164.0240
01/10/2010,164.0240
01/11/2010,164.0240
01/12/2010,162.8500
01/01/2011,163.9090
01/02/2011,168.6020
01/03/2011,168.6020
01/04/2011,170.7090
01/05/2011,172.5160
01/06/2011,172.5160
