Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,111.6580
01/03/2004,111.6580
01/04/2004,111.6580
01/05/2004,111.6580
01/06/2004,116.8200
01/07/2004,116.8200
01/08/2004,118.2530
01/09/2004,118.2530
01/10/2004,118.2530
01/11/2004,118.2530
01/12/2004,118.2530
01/01/2005,125.5970
01/02/2005,125.5970
01/03/2005,125.5970
01/04/2005,125.5970
01/05/2005,129.4610
01/06/2005,129.4610
01/07/2005,129.4610
01/08/2005,129.4610
01/09/2005,129.4610
01/10/2005,129.4610
01/11/2005,136.4070
01/12/2005,136.4070
01/01/2006,141.7120
01/02/2006,141.7120
01/03/2006,141.7120
01/04/2006,141.7120
01/05/2006,146.4880
01/06/2006,179.4360
01/07/2006,179.4360
01/08/2006,179.4360
01/09/2006,179.4360
01/10/2006,179.4360
01/11/2006,179.4360
01/12/2006,179.4360
01/01/2007,184.4030
01/02/2007,184.4030
01/03/2007,191.6330
01/04/2007,191.6330
01/05/2007,191.6330
01/06/2007,191.6330
01/07/2007,191.6330
01/08/2007,191.6330
01/09/2007,191.6330
01/10/2007,191.6330
01/11/2007,191.6330
01/12/2007,191.6330
01/01/2008,199.2110
01/02/2008,199.2110
01/03/2008,199.2110
01/04/2008,199.2110
01/05/2008,199.2110
01/06/2008,199.2110
01/07/2008,217.6050
01/08/2008,217.6050
01/09/2008,217.6050
01/10/2008,217.6050
01/11/2008,217.6050
01/12/2008,217.6050
01/01/2009,217.6050
01/02/2009,217.6050
01/03/2009,217.6050
01/04/2009,217.6050
01/05/2009,220.2060
01/06/2009,220.2060
01/07/2009,220.2060
01/08/2009,220.2060
01/09/2009,223.6380
01/10/2009,223.6380
01/11/2009,223.6380
01/12/2009,223.6380
01/01/2010,250.7590
01/02/2010,250.7590
01/03/2010,250.7590
01/04/2010,250.7590
01/05/2010,251.8930
01/06/2010,252.0220
01/07/2010,252.3130
01/08/2010,252.0090
01/09/2010,254.7530
01/10/2010,253.7210
01/11/2010,253.3760
01/12/2010,266.4690
01/01/2011,265.8110
01/02/2011,265.6040
01/03/2011,265.4560
01/04/2011,264.7440
01/05/2011,270.6850
01/06/2011,271.0770
