Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.9960
01/02/2004,101.9960
01/03/2004,106.1310
01/04/2004,106.1310
01/05/2004,106.1310
01/06/2004,106.1310
01/07/2004,106.1310
01/08/2004,111.5050
01/09/2004,116.9400
01/10/2004,116.7000
01/11/2004,116.7100
01/12/2004,116.2440
01/01/2005,121.1710
01/02/2005,121.1370
01/03/2005,121.1220
01/04/2005,121.0770
01/05/2005,120.7410
01/06/2005,120.3090
01/07/2005,119.9420
01/08/2005,119.8680
01/09/2005,120.1710
01/10/2005,120.2950
01/11/2005,119.9280
01/12/2005,119.7200
01/01/2006,123.8930
01/02/2006,123.6420
01/03/2006,124.2670
01/04/2006,125.1430
01/05/2006,125.2720
01/06/2006,130.9700
01/07/2006,130.0110
01/08/2006,129.5430
01/09/2006,129.8150
01/10/2006,136.0610
01/11/2006,135.9640
01/12/2006,135.8810
01/01/2007,139.4270
01/02/2007,139.5920
01/03/2007,139.9720
01/04/2007,139.6060
01/05/2007,139.1500
01/06/2007,139.1400
01/07/2007,139.0400
01/08/2007,140.3920
01/09/2007,140.4310
01/10/2007,140.7690
01/11/2007,141.9220
01/12/2007,141.9030
01/01/2008,146.1240
01/02/2008,145.7210
01/03/2008,145.5750
01/04/2008,144.9740
01/05/2008,144.7580
01/06/2008,145.8780
01/07/2008,155.8330
01/08/2008,155.3470
01/09/2008,156.8920
01/10/2008,162.7270
01/11/2008,164.7790
01/12/2008,165.6370
01/01/2009,171.6620
01/02/2009,173.7900
01/03/2009,174.6310
01/04/2009,175.0780
01/05/2009,174.5070
01/06/2009,174.7590
01/07/2009,174.7760
01/08/2009,173.6550
01/09/2009,174.8850
01/10/2009,174.5370
01/11/2009,174.0860
01/12/2009,173.1580
01/01/2010,179.5820
01/02/2010,180.7950
01/03/2010,179.6910
01/04/2010,178.4480
01/05/2010,179.8640
01/06/2010,180.0250
01/07/2010,180.3880
01/08/2010,180.0090
01/09/2010,180.4200
01/10/2010,179.1320
01/11/2010,178.7000
01/12/2010,178.9700
01/01/2011,178.1480
01/02/2011,181.8730
01/03/2011,181.6890
01/04/2011,180.7990
01/05/2011,180.4590
01/06/2011,180.9490
