Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.7310
01/03/2004,100.7310
01/04/2004,100.7310
01/05/2004,100.7310
01/06/2004,100.0230
01/07/2004,100.0230
01/08/2004,100.0230
01/09/2004,103.4490
01/10/2004,103.4490
01/11/2004,103.4490
01/12/2004,103.4490
01/01/2005,103.4490
01/02/2005,103.4490
01/03/2005,103.4490
01/04/2005,103.8230
01/05/2005,103.8230
01/06/2005,104.8240
01/07/2005,104.8240
01/08/2005,104.8240
01/09/2005,104.8240
01/10/2005,104.8240
01/11/2005,105.0150
01/12/2005,105.0150
01/01/2006,105.0150
01/02/2006,105.0150
01/03/2006,105.0150
01/04/2006,110.5770
01/05/2006,110.9030
01/06/2006,110.9030
01/07/2006,111.2380
01/08/2006,111.2380
01/09/2006,111.2380
01/10/2006,111.2380
01/11/2006,111.2380
01/12/2006,112.4080
01/01/2007,112.4080
01/02/2007,113.6640
01/03/2007,113.6640
01/04/2007,114.2720
01/05/2007,115.1130
01/06/2007,115.1130
01/07/2007,115.1130
01/08/2007,115.1130
01/09/2007,115.1130
01/10/2007,115.1130
01/11/2007,115.1130
01/12/2007,115.1130
01/01/2008,115.1130
01/02/2008,115.1130
01/03/2008,115.1130
01/04/2008,115.1130
01/05/2008,115.4880
01/06/2008,115.4880
01/07/2008,115.4880
01/08/2008,115.4880
01/09/2008,115.4880
01/10/2008,115.4880
01/11/2008,115.4880
01/12/2008,116.6370
01/01/2009,116.6370
01/02/2009,118.4800
01/03/2009,121.9760
01/04/2009,122.7620
01/05/2009,128.5570
01/06/2009,128.5570
01/07/2009,128.5570
01/08/2009,132.0260
01/09/2009,132.4850
01/10/2009,132.4850
01/11/2009,132.4850
01/12/2009,132.4850
01/01/2010,132.2630
01/02/2010,132.2630
01/03/2010,132.1150
01/04/2010,132.1150
01/05/2010,130.6590
01/06/2010,130.6970
01/07/2010,130.7840
01/08/2010,130.2520
01/09/2010,130.3510
01/10/2010,130.0420
01/11/2010,129.9390
01/12/2010,130.0030
01/01/2011,129.8070
01/02/2011,130.9510
01/03/2011,130.9070
01/04/2011,130.6940
01/05/2011,132.3490
01/06/2011,132.4660
