Fecha,Dato
01/12/2003,100.0000
01/01/2004,96.3780
01/02/2004,104.7530
01/03/2004,114.4710
01/04/2004,125.8450
01/05/2004,125.8450
01/06/2004,126.9950
01/07/2004,127.7940
01/08/2004,130.1840
01/09/2004,131.0020
01/10/2004,144.7550
01/11/2004,149.7090
01/12/2004,150.1070
01/01/2005,154.5360
01/02/2005,154.3790
01/03/2005,158.1220
01/04/2005,150.9660
01/05/2005,150.9660
01/06/2005,156.6940
01/07/2005,166.1190
01/08/2005,169.9010
01/09/2005,174.3100
01/10/2005,177.0100
01/11/2005,180.3740
01/12/2005,192.0420
01/01/2006,199.2290
01/02/2006,205.4380
01/03/2006,207.4230
01/04/2006,225.6470
01/05/2006,314.3040
01/06/2006,347.4030
01/07/2006,349.2800
01/08/2006,349.2800
01/09/2006,317.4000
01/10/2006,312.8130
01/11/2006,312.8130
01/12/2006,312.8130
01/01/2007,312.8130
01/02/2007,313.5500
01/03/2007,306.5080
01/04/2007,337.8070
01/05/2007,352.4780
01/06/2007,352.4780
01/07/2007,366.3200
01/08/2007,370.4580
01/09/2007,372.5570
01/10/2007,387.4750
01/11/2007,394.3690
01/12/2007,373.2700
01/01/2008,390.1110
01/02/2008,434.0480
01/03/2008,449.2600
01/04/2008,438.6210
01/05/2008,438.6210
01/06/2008,388.8830
01/07/2008,385.9980
01/08/2008,371.5750
01/09/2008,354.2670
01/10/2008,362.8180
01/11/2008,323.1210
01/12/2008,323.1210
01/01/2009,311.5820
01/02/2009,298.3800
01/03/2009,275.5310
01/04/2009,284.5620
01/05/2009,294.8000
01/06/2009,293.8240
01/07/2009,319.2740
01/08/2009,350.9100
01/09/2009,358.6020
01/10/2009,365.2620
01/11/2009,398.1590
01/12/2009,395.4860
01/01/2010,421.3720
01/02/2010,401.0450
01/03/2010,417.1870
01/04/2010,430.6380
01/05/2010,406.4260
01/06/2010,401.0450
01/07/2010,384.9040
01/08/2010,422.0050
01/09/2010,430.4130
01/10/2010,442.4200
01/11/2010,438.0960
01/12/2010,452.1090
01/01/2011,500.5250
01/02/2011,509.9780
01/03/2011,509.9780
01/04/2011,487.4180
01/05/2011,487.4180
01/06/2011,474.5260
