Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,108.9560
01/07/2004,108.9560
01/08/2004,108.9560
01/09/2004,108.9560
01/10/2004,108.9560
01/11/2004,108.9560
01/12/2004,108.9560
01/01/2005,108.9560
01/02/2005,108.9560
01/03/2005,108.9560
01/04/2005,108.9560
01/05/2005,108.9560
01/06/2005,108.9560
01/07/2005,112.7160
01/08/2005,112.7160
01/09/2005,113.4750
01/10/2005,113.4750
01/11/2005,113.4750
01/12/2005,112.6390
01/01/2006,113.7920
01/02/2006,113.7920
01/03/2006,113.7920
01/04/2006,113.7920
01/05/2006,116.2150
01/06/2006,126.9970
01/07/2006,129.1010
01/08/2006,129.1010
01/09/2006,129.1010
01/10/2006,129.1010
01/11/2006,129.1010
01/12/2006,129.1010
01/01/2007,129.1010
01/02/2007,129.1010
01/03/2007,129.1010
01/04/2007,129.1010
01/05/2007,129.1010
01/06/2007,129.1010
01/07/2007,129.1010
01/08/2007,129.1010
01/09/2007,129.1010
01/10/2007,129.1010
01/11/2007,129.1010
01/12/2007,129.1010
01/01/2008,129.1010
01/02/2008,130.4330
01/03/2008,130.4330
01/04/2008,130.4330
01/05/2008,143.8000
01/06/2008,143.8000
01/07/2008,169.0990
01/08/2008,168.1010
01/09/2008,171.2720
01/10/2008,183.2500
01/11/2008,187.4620
01/12/2008,189.4650
01/01/2009,192.4420
01/02/2009,194.0100
01/03/2009,195.7360
01/04/2009,187.1580
01/05/2009,185.9860
01/06/2009,186.5040
01/07/2009,186.5390
01/08/2009,184.9930
01/09/2009,187.5190
01/10/2009,187.1310
01/11/2009,186.2040
01/12/2009,184.2990
01/01/2010,183.5780
01/02/2010,184.4800
01/03/2010,182.3200
01/04/2010,179.8910
01/05/2010,182.6590
01/06/2010,182.9730
01/07/2010,183.6840
01/08/2010,182.9420
01/09/2010,183.7450
01/10/2010,183.7450
01/11/2010,183.7450
01/12/2010,183.7450
01/01/2011,183.7450
01/02/2011,183.7450
01/03/2011,183.7450
01/04/2011,183.7450
01/05/2011,183.7450
01/06/2011,183.7450
