Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.2660
01/02/2004,99.4490
01/03/2004,99.4110
01/04/2004,99.9670
01/05/2004,100.5490
01/06/2004,100.2560
01/07/2004,100.4660
01/08/2004,100.2980
01/09/2004,100.4900
01/10/2004,100.2810
01/11/2004,100.2890
01/12/2004,102.9870
01/01/2005,103.0880
01/02/2005,101.7980
01/03/2005,101.7860
01/04/2005,101.7480
01/05/2005,101.4660
01/06/2005,100.9130
01/07/2005,100.6060
01/08/2005,100.5430
01/09/2005,100.7970
01/10/2005,101.1240
01/11/2005,100.3250
01/12/2005,100.0140
01/01/2006,99.7170
01/02/2006,99.2570
01/03/2006,100.5400
01/04/2006,101.9880
01/05/2006,102.1820
01/06/2006,103.6410
01/07/2006,102.3920
01/08/2006,101.3850
01/09/2006,101.9170
01/10/2006,101.7540
01/11/2006,101.5480
01/12/2006,101.3760
01/01/2007,101.5240
01/02/2007,101.8450
01/03/2007,102.1420
01/04/2007,101.8560
01/05/2007,101.4990
01/06/2007,101.4910
01/07/2007,101.4130
01/08/2007,101.9420
01/09/2007,101.9710
01/10/2007,101.8440
01/11/2007,101.8780
01/12/2007,101.8620
01/01/2008,102.4280
01/02/2008,103.4220
01/03/2008,103.3120
01/04/2008,102.8610
01/05/2008,102.7000
01/06/2008,102.4170
01/07/2008,102.2240
01/08/2008,101.8790
01/09/2008,102.9770
01/10/2008,107.1230
01/11/2008,108.5820
01/12/2008,109.1910
01/01/2009,110.2220
01/02/2009,111.7340
01/03/2009,112.3320
01/04/2009,109.3620
01/05/2009,108.9560
01/06/2009,109.1700
01/07/2009,108.9160
01/08/2009,108.1250
01/09/2009,108.9930
01/10/2009,108.5310
01/11/2009,107.9320
01/12/2009,106.7000
01/01/2010,109.8040
01/02/2010,110.3870
01/03/2010,108.9900
01/04/2010,107.4190
01/05/2010,109.2090
01/06/2010,109.2570
01/07/2010,109.7150
01/08/2010,109.2360
01/09/2010,111.1140
01/10/2010,109.4480
01/11/2010,108.8900
01/12/2010,109.2380
01/01/2011,108.1760
01/02/2011,107.8430
01/03/2011,107.6040
01/04/2011,106.4540
01/05/2011,106.0150
01/06/2011,106.6480
