Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,104.7260
01/05/2004,107.2960
01/06/2004,120.1510
01/07/2004,120.1510
01/08/2004,120.1510
01/09/2004,120.1510
01/10/2004,127.2610
01/11/2004,127.2610
01/12/2004,127.2610
01/01/2005,127.2610
01/02/2005,127.2610
01/03/2005,127.2610
01/04/2005,127.2610
01/05/2005,127.2610
01/06/2005,127.2610
01/07/2005,127.2610
01/08/2005,127.2610
01/09/2005,127.2610
01/10/2005,127.2610
01/11/2005,124.4100
01/12/2005,124.4100
01/01/2006,124.4100
01/02/2006,124.4100
01/03/2006,123.9060
01/04/2006,123.9060
01/05/2006,123.9060
01/06/2006,124.8470
01/07/2006,124.8520
01/08/2006,124.8750
01/09/2006,124.8750
01/10/2006,124.8750
01/11/2006,124.8750
01/12/2006,129.5710
01/01/2007,129.5710
01/02/2007,129.5710
01/03/2007,129.5710
01/04/2007,129.5710
01/05/2007,129.5710
01/06/2007,132.7960
01/07/2007,132.7960
01/08/2007,132.7960
01/09/2007,132.7960
01/10/2007,132.7960
01/11/2007,132.7960
01/12/2007,132.7960
01/01/2008,132.7960
01/02/2008,130.1270
01/03/2008,130.1270
01/04/2008,139.3280
01/05/2008,139.3280
01/06/2008,139.3280
01/07/2008,154.8990
01/08/2008,154.6820
01/09/2008,155.3730
01/10/2008,161.4070
01/11/2008,162.3250
01/12/2008,162.7090
01/01/2009,163.3570
01/02/2009,164.3700
01/03/2009,164.7460
01/04/2009,162.8760
01/05/2009,162.6210
01/06/2009,162.7340
01/07/2009,162.7420
01/08/2009,162.2410
01/09/2009,162.7910
01/10/2009,162.6350
01/11/2009,162.4330
01/12/2009,162.0180
01/01/2010,161.9870
01/02/2010,162.1840
01/03/2010,161.7130
01/04/2010,161.1840
01/05/2010,161.7870
01/06/2010,161.8560
01/07/2010,162.0110
01/08/2010,161.8490
01/09/2010,162.0240
01/10/2010,162.0240
01/11/2010,162.0240
01/12/2010,162.0240
01/01/2011,162.0240
01/02/2011,162.0240
01/03/2011,165.2840
01/04/2011,169.7690
01/05/2011,169.7690
01/06/2011,169.7690
